RN,HN,version,daily_data_start,daily_data_end,N_daily_data,fine_data_start,fine_data_end,N_fine_data,N,utelatt_yrs
100,1,1,1984,1998,14,1993,2023,23,37,"2008, 2013, 2014"
101,1,1,1924,1988,36,1990,2023,34,70,
103,1,2,1972,1985,14,1986,2023,37,51,1991
103,3,1,1972,1988,11,1983,2023,28,39,"2010, 2013"
103,40,1,1972,1985,14,1986,2023,37,51,2012
104,22,1,,,0,1976,2023,29,29,2012
104,23,1,,,0,1976,2023,46,46,
105,1,2,1924,1986,63,1987,2023,34,97,
109,9,1,1935,1978,44,1979,2023,45,89,
109,12,1,1950,1963,14,1964,1990,27,41,
109,21,1,1970,1980,10,1981,2023,34,44,1991
109,29,1,,,0,1975,2023,45,45,2013
109,35,1,,,0,1988,2023,28,28,"2003, 2007, 2008"
11,4,1,1989,1997,7,1977,2007,21,28,1979
111,9,1,,,0,1975,2023,43,43,"1978, 1993, 1999, 2005, 2007"
111,10,1,,,0,1979,2023,38,38,"1993, 1999, 2010"
114,1,1,,,0,1990,2023,24,24,"1992, 1993, 1995, 2000, 2002, 2004, 2005, 2009, 2010"
12,13,1,,,0,1974,2022,42,42,"1977, 2002"
12,70,1,1920,1982,63,1983,2023,41,104,
12,113,1,1976,1985,10,1986,2023,37,47,
12,114,1,1937,1978,42,2007,2023,17,59,
12,150,1,1966,2004,13,1963,2023,20,33,"1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1985, 2002, 2009"
12,171,1,1991,1991,1,1969,2023,47,48,"1973, 1985, 1986"
12,178,1,,,0,1972,2023,49,49,"1974, 2011"
12,193,1,1977,1985,4,1980,2023,40,44,"1983, 2001"
12,197,1,,,0,1978,2023,39,39,"1999, 2005"
12,200,1,1982,1985,4,1986,2023,38,42,
12,207,1,1996,1996,1,1982,2023,39,40,"1991, 2002"
12,209,1,1984,1985,2,1986,2023,35,37,"1990, 2001, 2006"
12,212,1,1988,2002,6,1989,2023,30,36,
12,215,1,,,0,1988,2023,36,36,
12,286,0,1987,1991,5,1986,2023,17,22,"1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1984, 1985"
121,20,1,,,0,1988,2023,34,34,"1992, 1993"
122,9,1,1959,1976,8,1988,2023,33,41,
122,11,1,1942,1964,16,1966,2023,45,61,"1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 2013"
122,17,1,,,0,1973,2023,43,43,"2001, 2002, 2003, 2004, 2005, 2006, 2010, 2013"
123,31,1,1978,1985,8,1986,2023,37,45,
124,2,1,1913,1964,51,1965,2022,51,102,"1974, 1977, 1979, 1991, 2014"
124,15,1,,,0,1992,2022,25,25,"1994, 1998, 2002, 2005, 2006, 2010"
126,2,1,,,0,1992,2022,21,21,"2004, 2013, 2014"
127,6,1,1909,1988,61,1989,2022,34,95,
127,11,1,1967,1980,14,1981,2022,42,56,
127,13,1,,,0,1973,2021,45,45,"1991, 2002, 2006"
128,9,1,1974,1988,15,1989,2022,34,49,
133,7,1,1916,1969,52,1970,2022,51,103,"1984, 1989"
138,1,1,1917,1976,58,1977,2023,45,103,1986
139,13,1,,,0,2004,2023,20,20,
139,20,1,,,0,1975,2023,46,46,
139,25,1,1982,1984,3,1989,2022,27,30,"1998, 2013, 2014"
139,35,1,1979,1988,10,1989,2023,35,45,
140,2,1,1917,1988,72,1989,2023,34,106,2014
142,1,1,,,0,1983,2023,39,39,"1987, 1988"
148,2,1,1980,1981,2,1974,2023,42,44,
150,1,1,,,0,1953,2023,57,57,"2003, 2013"
15,49,1,1972,2008,18,1963,2023,30,48,"1970, 1971, 1974, 1976, 1982"
15,53,0,1986,2003,3,1967,2023,49,52,
15,79,0,1956,1997,34,1989,2023,30,64,
151,15,1,,,0,1969,2023,51,51,
151,21,1,1973,1987,15,1989,2023,29,44,"1992, 2001"
151,28,1,1909,1930,22,1989,2023,33,55,
152,4,0,1909,1973,64,1975,2023,39,103,"1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988"
153,1,1,1917,1985,58,1972,2023,49,107,
155,27,1,,,0,1993,2023,25,25,
156,8,1,1930,1984,38,1968,2022,33,71,"1959, 1987, 1988, 1990"
156,10,1,1951,1964,13,1998,2023,25,38,
156,13,1,1955,1961,5,1987,2023,35,40,
156,17,1,1967,2003,25,1989,2020,24,49,"1990, 2012"
156,24,1,1986,1990,3,1971,2022,41,44,
156,27,1,,,0,1974,2022,41,41,
157,3,1,1917,1987,71,1989,2022,34,105,
159,3,1,,,0,1974,2023,46,46,
16,66,1,1950,2006,21,1953,2023,36,57,1957
16,75,1,1961,2002,28,1987,2023,32,60,
16,122,1,,,0,1973,2023,47,47,"2001, 2005"
16,127,1,1985,1995,2,1980,2023,31,33,1986
16,132,1,1996,2002,2,1982,2020,30,32,
16,140,1,,,0,1996,2023,22,22,
