year_key,decimaldate,Qm3_s,d,ID
1993,1993.38874238965,102.962149418452,1,100-1
1999,1999.27097412481,78.2536420662132,1,100-1
2000,2000.37662226776,129.57300095552,1,100-1
2001,2001.83796042618,87.1112608461389,1,100-1
2002,2002.7435064688,95.2899694177493,1,100-1
2003,2003.6192370624,238.514955374616,1,100-1
2004,2004.34693571645,144.533005,1,100-1
2005,2005.50917047184,125.761424,1,100-1
2006,2006.44874429224,133.859619,1,100-1
2007,2007.68356164384,157.742355,1,100-1
2009,2009.550456621,76.738159,1,100-1
2010,2010.46278538813,80.903122,1,100-1
2011,2011.43789954338,121.890182,1,100-1
2012,2012.40482695811,97.67157,1,100-1
2015,2015.51164383562,107.582497,1,100-1
2016,2016.42030965392,93.064194,1,100-1
2017,2017.40239726027,110.731003,1,100-1
2018,2018.35547945206,127.528389,1,100-1
2019,2019.38858447489,110.476929,1,100-1
2020,2020.47267759563,135.794785,1,100-1
2021,2021.78607305936,104.49366,1,100-1
2022,2022.48493150685,129.210602,1,100-1
2023,2023.4654109589,90.815346,1,100-1
1991,1991.70718987823,7.13522976389999,1,101-1
1992,1992.04155282332,16.13199,1,101-1
1993,1993.09577625571,7.417137,1,101-1
1994,1994.78858447489,11.732202,1,101-1
1995,1995.34657534247,11.8351318666667,1,101-1
1996,1996.31420765027,4.812065,1,101-1
1997,1997.24686073059,30.30007,1,101-1
1998,1998.13670091324,16.544294,1,101-1
1999,1999.27157534247,12.294384,1,101-1
2000,2000.21994535519,7.320877,1,101-1
2001,2001.88184931507,10.048412,1,101-1
2002,2002.74805936073,10.002267,1,101-1
2003,2003.96552511416,14.944055,1,101-1
2004,2004.74191712204,10.682869,1,101-1
2005,2005.95422374429,10.590984,1,101-1
2006,2006.10228310502,10.985418,1,101-1
2007,2007.68675799087,11.624393,1,101-1
2008,2008.13547358834,11.609301,1,101-1
2009,2009.03333333333,9.445745,1,101-1
2010,2010.32979452055,5.64103,1,101-1
2011,2011.7799086758,11.417019,1,101-1
2012,2012.22108378871,12.283881,1,101-1
2013,2013.87648401826,11.719406,1,101-1
2014,2014.82831050228,8.281693,1,101-1
2015,2015.90707762557,11.070704,1,101-1
2016,2016.92759562842,15.688922,1,101-1
2017,2017.05570776256,15.129438,1,101-1
2018,2018.74863013699,10.227883,1,101-1
2019,2019.01107305936,12.964973,1,101-1
2020,2020.2901867031,10.363378,1,101-1
2021,2021.79143835616,10.303042,1,101-1
2022,2022.03550228311,23.136082,1,101-1
2023,2023.79315068493,13.307659,1,101-1
1986,1986.43459474886,130.613222950378,1,103-1
1987,1987.51240106545,143.361215952006,1,103-1
1988,1988.40978863084,155.120826856278,1,103-1
1989,1989.49041286149,172.466019393764,1,103-1
1990,1990.47653348554,134.157350856786,1,103-1
1992,1992.42613653613,148.180938999723,1,103-1
1993,1993.39415525114,136.199175379216,1,103-1
