RN,HN,Y_lat,X_long,Y_utm,X_utm,R_G,R_G_1085,A_Glac,A_Agr,A_Bog,A_L,A_For,A_Mount,A_U,A_LE,H_10,H_20,H_30,H_40,H_50,H_60,H_70,H_80,H_90,H_MAX,H_MIN,H_F,Y_G_Lat,X_G_Long,Y_G_UTM,X_G_UTM,C_S,R_TL_net,P_Jan,P_Feb,P_Mar,P_Apr,P_Mai,P_Jun,P_Jul,P_Aug,P_Sep,P_Oct,P_Nov,P_Dec,T_Jan,T_Feb,T_Mar,T_Apr,T_Mai,T_Jun,T_Jul,T_Aug,T_Sep,T_Oct,T_Nov,T_Dec,T_N,W_Jan,W_Feb,W_Mar,W_Apr,W_Mai,W_Jun,W_Jul,W_Aug,W_Sep,W_Oct,W_Nov,W_Dec,ID,R_L_sqrt,log_R_G_1085,Q_N_cuberoot,T_Feb_sqrd,T_Mar_cubed,W_Mai_sqrt,A,C_L,Q_N,R_L,O,R_TL,P_N,P_Med1Max,P_Med2Max,P_Med3Max,P_Med4Max,P_Med5Max,P_S,W_N,W_Med1Max,W_Med2Max,W_Med3Max,W_Med4Max,W_Med5Max,Q_N_SN,A_P,D,D_net,M_200_h,M_200_d,M_200_d_SN
78,8,61.4487,6.7426839,6840653,60541,74.96494687,16.38956498,39.54522986,0,0,0.318215522,17.30103806,29.65892239,0,0.149470082,206,457,759,1011,1225,1357,1487,1578,1619,1731,40,1691,61.49673357,6.740807507,6845984.46,61072.79559,21.84695748,40754.50938,160.0440169,114.31906,134.6258977,71.9865811,65.3610254,85.85666657,99.4527352,118.3420515,206.9908546,206.7933334,180.3236754,195.7355554,-7.46004137,-7.41159161,-5.853104504,-3.135772082,2.387684033,6.459652414,8.073989514,7.734943475,3.833980074,0.730909846,-3.85191168,-6.104028128,-0.382940835,34.2072,22.26756667,36.09696667,70.7692,207.7483667,344.8395667,310.9954333,214.9109667,183.0763667,143.8937333,62.8805,46.0752,78-8,2.40333786811819,2.85587031252713,4.76381940418623,54.9316901934224,-200.520525840277,14.413478646739,40.4600000105358,11.0836709098334,108.109999967061,5.77603290833087,30423.3106118939,41675.7719273773,1639.83145303967,45.1205130087525,66.0128210173862,89.344872028512,108.03205050136,121.521793978063,54.2115673274185,1677.76106641116,86.9482158216702,78.7169651077761,39.6575898520808,56.4986619742334,88.5486626191854,2827.97196612839,1.32990129208229,1030.04874155284,1007.27902526222,16.9999999990443,114.999999958226,101.999999971004
177,4,68.4074326,15.7054424,7588456,528971,18.6025439,21.90966282,0,0,1.71,10.05,19.97,54.5,0,2.273468157,88,138,191,235,302,387,457,556,624,970,18,952,68.4060257,15.65316493,7588275.079,526822.9074,22.33846292,25701.79887,136.810115,114.8581609,99.85045997,83.14586243,64.33908077,67.0318391,89.6250574,97.79528707,140.6224131,191.5051724,140.3971266,147.9311496,-5.175194671,-5.047982142,-3.929050794,-0.932777783,3.924490172,8.131590029,10.76755654,10.28738226,6.294693476,2.462710437,-1.311413779,-3.818720788,1.804440247,52.96476667,53.24663333,45.9164,137.7012,324.3635333,142.6324,101.6559333,103.4282,147.5938,185.1432667,107.3971,78.31496667,177-4,3.11064237248264,3.13155877876653,3.97526401459485,25.4821237059509,-60.6544864465926,18.0100953162386,29.2500000094224,7.27706111712391,62.8199999930583,9.6760959694844,31584.8495504918,36271.9433160738,1373.91172500894,41.948276019916,60.7758620264255,70.8793105325543,86.7586209643454,95.6275869640891,55.4639473846455,1480.35820073815,98.2714288194013,89.1500031818394,46.0714293923978,63.7000007912739,99.1500014906404,1662.26252961803,0.926076912435047,1240.06643279664,878.693978727301,18.9999999968376,98.000000032284,81.0000000265325
68,1,60.9705315,5.2897968,6798491,-24332,62.05703084,44.29070776,0,0,0.22,21.48,23.94,53.91,0,21.33991074,410,410,424,441,463,491,515,539,559,624,410,214,60.96571798,5.302036056,6797833.417,-23792.40782,13.48670033,4622.074629,305.2273333,227.9873333,252.036,147.178,133.9406667,174.0186667,192.338,240.5133333,405.5473333,400.088,362.4946667,354.4173333,-2.960215054,-3.296946634,-1.515483871,0.924355556,6.030967742,9.767044444,10.91492473,10.70660215,7.576977778,4.879462366,0.612644444,-1.745268817,3.491255403,187.0266667,136.1133333,172.0733333,275.4333333,487.8733333,292.24,213.2066667,257.1333333,433.6466667,422.7533333,307.46,246.0533333,68-1,1.76941509469697,3.81310188473681,5.15952302222038,10.8698571074439,-3.48059871768727,22.087854882265,4.47000000167412,2.29311467149609,137.350000063005,3.1308297773415,9807.62890980622,9025.45306455702,3195.78666809205,81.4899999729349,131.429999935085,158.160000021769,177.900000058389,205.809999982636,62.0087486283922,3431.01333337756,62.5155972119632,56.6465605728113,29.3885324637186,41.8818814592832,62.6722484997686,4330.2246678934,0.455767652188043,2019.11701592322,1034.02117026202,23.9999999916493,204.00000003178,152.999999939957
99,17,62.1976852,7.4954329,6918835,110113,54.42148854,51.53436265,1.590726616,0.110397431,0.676184263,14.46457246,10.7637495,70.52388599,0,6.12227896,744,1045,1280,1319,1325,1361,1423,1499,1590,1850,466,1384,62.12976275,7.540514123,6911030.754,111580.1252,19.92136015,37836.36425,94.3555766,72.0604487,80.49653787,48.20814097,38.03993603,48.4508334,68.57448733,70.89224337,108.7096798,109.8940387,104.5296793,118.1951925,-9.203172041,-8.982047157,-7.396321333,-4.797561963,0.94197684,5.000224354,6.61526261,6.390746497,2.389698723,-0.625198513,-5.414873937,-7.775148884,-1.904701234,3.605366667,3.9336,5.157266667,21.39086667,220.0432333,356.4051,228.6171667,106.0217333,96.34456667,70.67853333,14.78333333,6.248266667,99-17,4.46919767069359,3.96146748215509,3.69211860257852,80.6771711305718,-404.619968958976,14.8338542968441,49.8200000082684,15.8635477838112,50.3300000106565,19.973727819733,42443.6795917301,55146.3555502296,962.406794894752,32.5048074846228,46.1615380214376,56.1874994812861,65.6519229988043,74.7221155085208,60.9201426731646,1133.22903300536,62.6537908568038,56.8728775629335,29.601005016093,41.410046438961,63.8758913483821,2155.56243671377,1.17379078319179,1106.91199178612,759.461345444479,14.0000000053864,161.999999962354,85.9999999781983
2,142,60.6411705,12.0471249,6726448,338530,4.759287629,3.800582207,0,2.191087144,15.8853818,1.825905954,72.73192049,0,0,0.093340822,270,311,342,378,412,447,479,511,556,807,170,637,60.8562353,12.2075206,6750213.627,348472.5935,4.402179779,1767429.497,40.78664213,34.16959167,37.39067697,40.727831,57.3846655,74.3342972,87.60737973,78.95174677,88.24873827,74.26072747,63.47876053,47.31765677,-10.10429952,-9.230973081,-4.712738302,0.62803813,7.36692456,12.37664996,13.514876,11.98084418,7.369243863,2.742068363,-3.824383682,-8.461721215,1.637044105,3.17731,6.370703667,18.363561,133.6489477,145.199444,78.52903767,90.88692367,82.053974,93.22793033,68.66394467,30.39264067,5.742868,2-142,10.8085247070058,1.56873720368343,2.40034717225834,85.2108640221466,-104.669457267676,12.0498731943535,1643.0200002995,65.1683163975302,13.8300000044717,116.824206341954,276994.594350801,1866340.38871577,724.658714208849,29.4970284864689,39.7701029956999,45.6925109823554,47.9973919952747,54.8077014780466,62.136911969473,756.257285486648,97.2303809652355,88.4088626641456,44.4607602931279,62.935444150007,96.4379766798422,311.032460397156,5.93159591242447,1135.92067216257,1075.72001311355,26.9999999998831,69.9999999965449,73.9999999848915
2,61,62.6465492,11.3535748,6951494,313143,21.91837308,11.69995365,0,0.12,9.43,12.93,36.64,14.82,0,6.371394008,791,806,816,827,839,853,868,889,917,1026,701,325,62.6845301,11.30444396,6955858.778,310877.6914,4.853339675,29258.67697,50.5625002,40.80124977,42.33388867,37.67541653,34.28902757,58.22083317,82.0433329,70.32083307,68.55624983,54.42916663,52.74569413,58.5725002,-10.6720699,-9.907149354,-7.046572563,-2.857250002,3.566388869,8.296671306,9.621218626,8.870425619,4.655495367,0.752338714,-5.43366205,-8.650224016,-0.733699116,1.374666667,1.336,3.0091,49.61296667,277.9155333,82.2448,87.3634,74.48163333,67.15143333,42.0168,8.534966667,1.409866667,2-61,3.47560353474638,2.54159834385159,2.64335584851789,98.1516083224626,-349.89181685317,16.6707988200926,25.409999991562,9.73576682865684,18.4699999961001,12.0798199307415,24674.302834955,38967.4230640777,650.550692868982,21.3395834926419,30.258334010143,38.6895835155181,47.5645834913659,52.8854164826488,64.7219424219528,696.451166461374,57.1765595317807,51.8658362321635,26.4639655216308,37.8775568825081,56.4866592611404,610.935138967078,1.02981633416847,1533.54675627775,1151.46308435301,23.9999999916493,98.000000032284,77.0000000112663
71,5,61.1429367,6.7499681,6806737,56620,90.99309999,79.08398261,1.340662287,1.340662287,0,0.873944228,38.87920633,48.26384234,0,0.02461964,427,590,698,789,931,1060,1187,1320,1463,1635,55,1580,61.09152588,6.736829726,6801142.716,55316.46435,22.39092805,107716.3925,133.1221169,91.3224324,110.1046396,49.44864887,54.11765787,74.51653167,88.1436036,104.9245045,176.811937,175.8608558,155.4740544,158.2822977,-7.07047224,-7.15776273,-5.603491737,-2.677175693,2.878140081,7.100216211,8.718514981,8.373465568,4.563271773,1.306717519,-3.393956467,-5.789458015,0.104000771,24.34943333,16.3872,21.9369,57.94983333,238.1257667,315.1596333,230.8564,156.7318333,172.5193,139.249,60.1091,36.1554,71-5,3.78559862468446,4.38307586666243,3.75959026729543,51.2335672989771,-175.94470748895,15.4313242043578,74.5900000024561,12.6162507750045,53.1399999823752,14.3307569472129,43266.636614342,111868.90794818,1372.12927965428,45.2425675221191,62.3479730265898,84.7513520054516,99.5141880035864,113.18648554532,56.7159092615444,1469.5298004999,104.833335275645,94.4571445676148,46.6603183345833,67.3015882549499,100.565081396823,2446.27553724576,1.72396113244179,1499.78426587977,1444.11305164341,18.000000001869,113.000000032505,95.9999999550877
2,28,61.2154198,10.2693233,6795979,246027,11.45574851,10.59606756,0,6.438631791,13.68209256,2.414486922,57.94768612,7.933314171,0.114975568,0.048892072,500,658,749,812,850,884,917,960,1026,1513,199,1314,61.30666478,9.924996779,6807492.336,228647.4034,8.213828335,1134613.023,40.1997566,30.0448914,35.08072497,29.20400827,51.24438697,73.8881793,82.79543993,81.64016207,73.90316317,76.82002267,58.4235534,42.90634243,-10.46834205,-9.656213425,-6.679671703,-1.909825364,4.690417905,9.757376284,10.99616376,9.678105712,4.941462706,0.65441321,-5.218036774,-8.568884528,-0.148586188,1.28172,1.696923333,6.596266667,71.89229333,242.1397567,85.98337,90.69507667,88.68638333,78.14624333,62.01671333,12.27177,2.29245,2-28,8.16648077190809,2.45066603718938,2.54427782638568,93.2424577091503,-298.033685959696,15.5608404882256,869.749999972123,49.026659520297,16.4699999968781,66.6914081979446,194229.717817776,1236135.40256435,676.150630902763,27.5463540098277,39.8462959856892,46.2266775230601,51.5996519856177,56.8673034978847,66.0763404447213,743.698966473946,73.0392652733939,66.7300623982168,32.5665650138629,47.6217801136949,70.7361976307262,623.83394988286,4.477945009707,1421.25369232028,1304.52776452105,18.9999999968376,72.9999999891675,70.9999999970666
81,1,61.1352005,4.9371152,6819567,-40448,92.35446686,118.7319885,0,0,1.55,20.06,10.59,12.57,0,19.3687119,24,24,35,41,51,64,96,209,300,448,21,427,61.14447057,4.924316939,6820677.612,-40920.29374,12.44971558,4089.009045,222.6438095,168.9528569,178.0457143,114.0009522,91.9614286,113.1823809,133.4009523,167.9409525,280.5180949,287.1190476,266.9738094,257.8795235,0.404500782,0.117664219,1.44973887,3.542603174,8.000706604,11.33628571,12.43875576,12.51579109,9.837460314,7.419846397,3.642809533,1.633333343,6.028291316,207.9916667,165.505,184.8446667,153.2806667,131.0983333,131.3333333,145.2876667,177.7986667,294.4116667,302.958,269.171,247.2386667,81-1,1.86279360105812,4.78525581579263,3.93585174998013,0.01384486843288,3.04697821912881,11.4498180465892,7.12999999696116,5.08883626606058,60.9700000048944,3.47000000014308,19847.0449298431,7908.69458784494,2282.61952288852,51.1571430132195,81.2428569594562,100.650000494614,119.499999955598,138.149999534514,61.4316911189456,2410.91933367468,64.3359767647414,57.5975620335696,29.6384152085268,42.7640250960072,63.6914648624348,3027.52809403686,0.359247436050163,1109.21382765998,573.493554716653,21.9999999921171,117.999999945052,110.000000022834
122,11,62.8901062,11.1838799,6979097,306061,15.0539315,14.46978369,0,2.11,12.57,2.84,24.55,43.96,0.04,0.153651415,623,717,775,811,844,878,918,964,1021,1284,285,999,62.78437556,11.34337658,6967305.514,313390.9169,7.508885678,1408562.799,53.74855263,44.10663673,44.5301429,40.06082043,37.24852733,62.15787,86.2126761,73.5374518,80.49862913,62.5562128,57.439404,63.1130686,-10.1101442,-9.373042127,-6.652184743,-2.667661234,3.626901603,8.273121304,9.616407216,8.935131213,4.780291549,0.979336265,-5.009589702,-8.090934512,-0.474363948,2.467043333,2.278223333,4.901256667,61.71314333,283.5952733,90.71232667,92.77832,78.74598333,82.12255333,53.42234,13.05994333,3.91376,122-11,6.74002967342611,2.73888868194035,2.94952592190971,87.8539187145167,-294.369564625765,16.840287209546,655.179999972197,32.9748281808013,25.659999995189,45.4279999986644,161636.313164186,1522148.80194498,705.20999238547,21.6486240033186,31.3409020117808,40.3298930092787,46.6555814795389,53.3863150152542,63.8202836900973,769.710166618595,56.5315689165439,50.6855939893908,26.6283902165355,38.2955514381244,57.7192806455674,698.276081643094,4.05342085437884,2323.25284264344,2149.88674717127,23.9999999916493,85.9999999781983,69.0000000277891
