year,ID
1993,100-1
1999,100-1
2000,100-1
2001,100-1
2002,100-1
2003,100-1
2004,100-1
2005,100-1
2006,100-1
2007,100-1
2009,100-1
2010,100-1
2011,100-1
2012,100-1
2015,100-1
2016,100-1
2017,100-1
2018,100-1
2019,100-1
2020,100-1
2021,100-1
2022,100-1
2023,100-1
1991,101-1
1992,101-1
1993,101-1
1994,101-1
1995,101-1
1996,101-1
1997,101-1
1998,101-1
1999,101-1
2000,101-1
2001,101-1
2002,101-1
2003,101-1
2004,101-1
2005,101-1
2006,101-1
2007,101-1
2008,101-1
2009,101-1
2010,101-1
2011,101-1
2012,101-1
2013,101-1
2014,101-1
2015,101-1
2016,101-1
2017,101-1
2018,101-1
2019,101-1
2020,101-1
2021,101-1
2022,101-1
2023,101-1
1986,103-1
1987,103-1
1988,103-1
1989,103-1
1990,103-1
1992,103-1
1993,103-1
1994,103-1
1995,103-1
1996,103-1
1997,103-1
1998,103-1
1999,103-1
2000,103-1
2001,103-1
2002,103-1
2004,103-1
2005,103-1
2006,103-1
2007,103-1
2008,103-1
2009,103-1
2010,103-1
2011,103-1
2012,103-1
2013,103-1
2014,103-1
2015,103-1
2016,103-1
2017,103-1
2018,103-1
2019,103-1
2020,103-1
2021,103-1
2022,103-1
2023,103-1
1983,103-3
1984,103-3
1985,103-3
1989,103-3
1990,103-3
1991,103-3
1992,103-3
1998,103-3
1999,103-3
2000,103-3
2002,103-3
2005,103-3
2006,103-3
2007,103-3
2008,103-3
2009,103-3
2011,103-3
2014,103-3
2015,103-3
2016,103-3
2017,103-3
2018,103-3
2019,103-3
2020,103-3
2021,103-3
2022,103-3
2023,103-3
1986,103-40
1987,103-40
1988,103-40
1989,103-40
1990,103-40
1991,103-40
1992,103-40
1993,103-40
1994,103-40
1995,103-40
1996,103-40
1997,103-40
1998,103-40
1999,103-40
2000,103-40
2001,103-40
2002,103-40
2003,103-40
2004,103-40
2005,103-40
2006,103-40
2007,103-40
2008,103-40
2009,103-40
2010,103-40
2011,103-40
2013,103-40
2014,103-40
2015,103-40
2016,103-40
2017,103-40
2018,103-40
2019,103-40
2020,103-40
2021,103-40
2022,103-40
2023,103-40
1976,104-22
1989,104-22
1990,104-22
1992,104-22
1993,104-22
1994,104-22
1995,104-22
1997,104-22
1998,104-22
1999,104-22
2000,104-22
2001,104-22
2002,104-22
2003,104-22
2004,104-22
2007,104-22
2008,104-22
2009,104-22
2010,104-22
