"OBJECTID";"Shape";"vassdragNr";"navnNedbf";"arealEnh";"elvHierark";"vassOmr";"P1_Id";"klimaRegion";"region";"QNormal6190_mmAar";"QNormal6190_lskm2";"heightMin";"height10";"height20";"height30";"height40";"height50";"height60";"height70";"height80";"height90";"heightMax";"sjoPro";"brePro";"skoPro";"jbrukPro";"myrPro";"snaufjellPro";"urbanPro";"annetPro";"neddemtAreal_km2";"sumArealMagHRV";"sumArealMagNatVst";"antMag";"antMagIkkeDigNatVst";"tillopAktuelt";"effsjoPro";"effsjoTillop";"feltLeng_km";"elveLengde";"sumElvLengde";"feltLengdTillop";"gradElv";"grad1085";"drenTetthet";"tamSommer";"tamVinter";"rrSommer";"rrVinter";"tamJuli";"tamAugust";"tamAar";"rrAar";"rrJuni_mm";"rrJuli_mm";"qttMai_mm";"qttJuni_mm";"qttNovember_mm";"qttAarMax4dogn_mm";"tamFebruar";"tamMars";"elvenavn";"slopeMean";"leirProsent";"Shape_Length";"Shape_Area";"Ap (km)";"P_Sep (mm)";"qtt_Apr (mm)"
54;"Polygon";"205.2Z";"Røykeneselva";17.74;"Røykeneselva";205;33007;"Finnmark";"Finnmark";842.78726;26.721219;1;349;457;535;603;671;799;944;1027;1105;1211;1.722802;0;14.388388;0;1.025225;77.290023;0;5.562993;0;0;0;0;0;0;0.171828;-999;9.137026;11.580839;25.356347;-999;91.525319;83.47121;1.58482;5.159082;-5.169907;195.478305;319.132194;8.463209;7.432617;-0.866161;514.6105;33.080844;49.253115;186.435146;97.850287;8.749921;59.920936;-12.983041;-10.742652;"Røykeneselv";12.703029;0;23753.07206;17743855.14;747.013064157047;44.7501628411053;28.3423039915879
1182;"Polygon";"177.81Z";"Teinelva";11.75;"Teinelva";177;56613;"Nord";"Nord";2767.87496;87.757608;1;54;114;169;244;293;344;403;476;542;778;3.664894;0;45.452128;0.287234;2.531915;45.074468;0;2.893617;0;0;0;0;0;0;1.407544;-999;6.868223;7.7492;14.460529;-999;72.832034;55.231508;1.582517;8.285527;-1.187571;506.946177;1052.123835;10.910106;10.58426;2.759553;1559.070012;69.39334;93.8583;325.4271;135.880775;115.598494;93.150325;-4.840429;-3.737274;"Teinelv";18.446937;6.824468;17566.41463;11745397.06;645.540257428886;145.377250255957;132.780667416268
892;"Polygon";"019.C5Z";"Stigvasselva";21.35;"Stigvasselva/Arendalsvassdraget";19;53005;"Sor";"Sor";850.370114;26.96164;143;155;177;197;215;235;261;292;319;355;427;3.647541;0;86.829625;3.269906;4.364754;0;0.260539;1.38466;0;0;0;0;0;0;2.047853;-999;7.849052;9.216357;22.575576;-999;24.52162;10.850274;1.306201;11.843385;-0.669224;506.589612;683.969126;14.375877;13.880706;4.544363;1190.558738;72.309442;96.514825;134.620091;77.758098;118.207695;89.084375;-4.841765;-1.619403;"Stigvasselva";9.230137;0;26324.96661;21352704.68;811.119914861866;129.890597306799;182.221462246181
603;"Polygon";"109.12Z";"Hoemselva";13.33;"Hoemselva";109;62887;"Midt";"Midt";1855.183114;58.82001;5;183;241;286;333;390;443;509;583;699;987;0.056264;0;49.671793;0.693923;3.258627;33.589647;0;12.692236;0;0;0;0;0;0;0;-999;6.869531;7.209742;18.166145;-999;74.252312;50.672179;1.362802;9.500563;1.167143;550.613306;1009.448999;11.039657;11.30772;4.639401;1560.062305;76.264579;101.277292;304.984822;133.465016;126.080523;97.984991;-3.857429;-2.113814;"Hoemselv";20.106812;0;19782.02365;13325240.66;673.603514788843;197.79323319006;198.508818017706
825;"Polygon";"134.21Z";"Innstrandbekken";1.27;"Innstrandbekken";134;60415;"Midt";"Midt";827.401371;26.233398;1;8;10;11;12;13;15;17;19;37;85;0;0;14.222441;70.521654;0;0;0;15.797244;0;0;0;0;0;0;0;-999;2.262663;0.65168;0.649419;-999;13.212006;12.275964;0.511354;11.227015;2.161498;424.921801;647.046159;12.880599;13.08514;5.938797;1071.96796;66.031313;86.830564;55.866178;70.750271;99.453776;67.259912;-0.681432;0.735271;"Innstrandbekke";2.744807;20.620079;5616.630653;1273222.978;239.589546885124;138.362450346289;79.6265680419783
690;"Polygon";"002.L6Z";"Nordre bjøråa";52.82;"Nordre bjøråa/Glommavassdraget";2;3329;"Ost";"Ost";346.626266;10.990053;294;484;584;659;712;738;771;814;846;886;1083;1.521677;0;83.319529;0.296999;9.273239;1.564275;0;3.572274;0;0;0;0;0;0;0.176776;-999;13.658464;22.62228;40.769486;-999;27.356659;25.638441;0.837598;7.931232;-5.999751;310.967913;206.874581;10.305999;10.429557;-0.195175;517.842493;66.457829;78.420762;161.978215;72.514003;11.431043;58.870622;-10.550158;-7.055565;"Nordre bjøråa";7.371971;0;49093.46314;52818986.65;1075.88634543864;65.8473631672061;71.8898833896489
1100;"Polygon";"031.62Z";"Revsåna";6.17;"Revsåna";31;31537;"Sor";"Sor";1935.398013;61.363285;10;236;250;284;315;350;417;467;515;563;705;14.738655;0;48.237439;0;0.344408;24.675851;0;11.922609;0;0;0;0;0;0;12.18404;-999;3.523667;3.495446;3.790033;-999;133.030247;122.063596;1.06892;10.122916;2.169087;633.098163;1043.216482;11.701521;11.8803;5.483183;1676.314645;105.503306;124.920709;153.222752;117.76717;226.015109;113.297939;-2.781264;-0.917054;"Revsån";17.134875;0;13405.32909;6169643.5;460.238123198761;221.825446451889;183.155807037601
1181;"Polygon";"177.73Z";"Sneiselva";30.11;"Sneiselva";177;23051;"Nord";"Nord";2941.930146;93.276162;5;74;131;184;227;291;376;449;549;623;970;9.768349;0;20.620226;0.026984;1.664729;53.21737;0;14.451179;0;0;0;0;0;0;2.129347;-999;7.758329;11.1697;26.772224;-999;17.368416;18.383066;1.246082;8.225597;-1.259909;576.349999;1253.007527;10.866986;10.534639;2.692385;1829.357526;67.007491;89.542013;319.639424;149.093728;106.158051;91.997818;-5.106618;-3.998729;"Sneiselv";22.165794;1.035785;33167.45805;30106270.54;865.242234792569;138.221634020273;NA
1113;"Polygon";"166.31Z";"Røsvikelva";7.66;"Røsvikelva";166;16507;"Nord";"Nord";1287.990689;40.836737;2;79;147;193;237;278;306;332;365;418;529;1.101501;0;65.029373;0.057115;4.063316;10.035901;0.212141;19.345627;0;0;0;0;0;0;0.040163;-999;4.294378;5.27318;17.268071;-999;83.401287;86.475334;2.351168;9.453706;-1.828956;485.193283;904.074881;12.16171;11.52471;2.872153;1389.268164;74.091187;98.554473;315.184392;99.392718;104.405078;102.454345;-6.015438;-4.356007;"Røsvikelv";13.500323;4.879243;14636.99347;7656901.914;498.584709153172;141.42657151435;NA
436;"Polygon";"070.3Z";"Sylvarneselvi";8.36;"Sylvarneselvi";70;51183;"Vest";"Vest";2238.618289;70.977118;20;529;641;748;837;921;1014;1099;1187;1237;1310;1.5625;0;19.983553;0.194378;0.284091;70.566687;0;7.39384;0;0;0;0;0;0;0.155312;-999;5.903872;6.562324;14.867566;-999;183.928746;214.964499;1.956991;7.647616;0.321542;597.203856;1083.242701;9.396224;9.52832;3.374073;1680.446557;116.592444;130.995794;347.817418;483.737815;98.404278;113.695379;-6.5992;-5.073047;"Sylvarneselv";20.7172;0;15341.96562;8363079.144;545.111320984723;261.820170782631;NA
120;"Polygon";"113.DZ";"Fosselva";13.31;"Fosselva/Fjelna";113;63081;"Midt";"Midt";1628.803022;51.642455;292;350;384;414;444;479;519;561;607;662;864;0.338092;0;24.023291;1.399324;13.838279;37.640872;0;22.699098;0;0;0;0;0;0;0.001372;-999;5.285388;6.719607;31.314163;-999;55.969045;38.891162;2.369208;8.340182;-1.535575;623.749722;1190.483952;10.174428;10.531994;2.579324;1814.233675;79.524171;105.557549;348.767741;120.650419;85.974946;86.599146;-5.003102;-3.209319;"Fosselva";11.702767;0;17472.35017;13313772.04;761.990912332416;167.082496135977;170.945596833243
101;"Polygon";"212.8Z";"Sørelva";70.99;"Sørelva";212;43097;"Finnmark";"Finnmark";658.841992;20.889093;1;223;312;362;396;426;462;496;525;559;732;2.824341;0;23.967284;0.088921;3.4283;64.384949;0.016728;5.116918;0;0;0;0;0;0;0.341076;-999;14.374213;16.63168;107.528395;-999;38.430874;34.312028;1.72242;6.659699;-5.927859;215.884758;273.527733;10.375179;9.187889;-0.683044;489.412491;37.594761;55.551347;190.651689;68.540307;8.509325;57.416686;-12.442631;-10.141621;"Sørelv";8.089704;0;49090.31248;70992331.06;1446.15765273718;45.271043216228;31.5562241590816
1614;"Polygon";"196.AA2Z";"Jonsabekken";16.6;"Jonsabekken/Barduelva/Målselvvassdraget";196;47609;"Nord";"Nord";805.182185;25.528922;18;70;102;132;199;335;423;514;611;725;1232;0.828313;0;61.856175;1.935241;5.59488;29.017319;0;0.730422;0;0;0;0;0;0;0.039858;-999;9.143502;11.714852;37.570145;-999;71.193387;73.183453;2.334174;7.623714;-6.29131;278.655937;508.806423;10.912194;10.234803;-0.493384;787.462359;42.051409;59.884835;241.870159;83.748386;25.875853;62.855669;-9.55079;-7.545744;"Jonsabekken";8.121617;6.946536;24074.22514;16603551.9;690.727622680525;68.2386186170188;74.8459544988608
1417;"Polygon";"124.F41Z";"Bjørntjønnbekken";2.67;"Bjørntjønnbekken/Stjørdalsvassdraget";124;62481;"Midt";"Midt";1110.931882;35.222951;361;425;477;513;563;583;602;620;644;665;700;0.468165;0;47.542135;0;24.742509;2.223783;0;25.023408;0;0;0;0;0;0;0.165004;-999;3.303457;4.139048;3.850206;-999;71.760465;73.768979;1.478498;7.756283;-3.269248;461.605426;558.742255;9.787329;10.259524;1.324723;1020.347681;76.945619;103.5058;279.814773;95.199117;41.711471;72.974719;-7.252073;-4.772687;"Bjørntjønnbekken";8.488418;0;8408.589792;2671011.54;317.65273447781;114.253818233361;102.000031381957
1455;"Polygon";"139.A2AZ";"Norddalselva";22.94;"Norddalselva/Meosen/Namsen";139;13331;"Midt";"Midt";1382.477936;43.832528;4;83;131;165;198;237;270;303;332;391;568;1.106146;0;54.005013;1.988884;8.917284;11.192241;0;22.640584;0;0;0;0;0;0;0.03167;-999;7.702119;11.08382;67.345542;-999;45.763103;37.411891;3.26793;9.668713;-1.109317;470.039995;842.643678;11.741069;11.608324;3.381529;1312.683673;72.719645;92.25891;224.687419;84.968165;109.249067;88.068767;-5.13867;-2.997359;"Norddalselva";10.484444;8.843723;27470.48859;22937711.31;834.994661329989;158.397535537501;219.375025708103
726;"Polygon";"003.17Z";"Gunnarsbybekken";5.15;"Gunnarsbybekken";3;55189;"Ost";"Ost";469.428138;14.883581;1;12;17;20;22;25;29;33;40;47;66;0;0;18.058252;66.662621;0;0;6.067961;9.186893;0;0;0;0;0;0;0;-999;3.908526;3.495069;4.467429;-999;12.200044;11.063204;0.867462;13.605101;0.71113;365.167602;442.139958;16.297187;15.323978;6.083618;807.307559;62.226105;73.324505;61.675204;67.096088;82.387529;63.24302;-3.949999;-0.577102;"Gunnarsbybekke";2.210807;28.288835;11541.19712;5148327.627;446.082635530002;91.4049164644754;91.235332452121
