regine;main;Q_median;Y_lat;X_long;Y_utm;X_utm;ln(A);ln(C_L);ln(Q_N);ln(R_L);R_G;R_G,1085;A_Glac;A_Agr;A_Bog;A_L;A_For;A_Mount;A_U;A_LE;H_10;H_20;H_30;H_40;H_50;H_60;H_70;H_80;H_90;H_MAX;H_MIN;H_F;Y_G,Lat;X_G,Long;Y_G,UTM;X_G,UTM;ln(O);C_S;ln(R_TL);R_TL,net;P_Jan;P_Feb;P_Mar;P_Apr;P_Mai;P_Jun;P_Jul;P_Aug;P_Sep;P_Oct;P_Nov;P_Dec;ln(P_N);ln(P_Med1Max);ln(P_Med2Max);ln(P_Med3Max);ln(P_Med4Max);ln(P_Med5Max);ln(P_S);T_Jan;T_Feb;T_Mar;T_Apr;T_Mai;T_Jun;T_Jul;T_Aug;T_Sep;T_Oct;T_Nov;T_Dec;T_N;W_Jan;W_Feb;W_Mar;W_Apr;W_Mai;W_Jun;W_Jul;W_Aug;W_Sep;W_Oct;W_Nov;W_Dec;ln(W_N);ln(W_Med1Max);ln(W_Med2Max);ln(W_Med3Max);ln(W_Med4Max);ln(W_Med5Max);ln(Q_N,SN);ln(A_P);ln(D);ln(D_net);ln(M_200,h) ;ln(M_200,d );ln(M_200,d,SN)
25;1;152.725;58.3652725;6.9567361;6497530;30119;7.045436798;4.589447226;4.15261347;4.932961999;8.94;7.46;0;0.57;2.1;13.3;15.3;65.16;0.01;1.91;386;557;698;785;847;896;936;1015;1106;1431;123;1308;58.8158645;7.089367769;6546550.751;44273.29396;12.88273977;11.39638545;14.79288303;1678318.937;155.4715254;107.8708779;111.5450863;64.52460713;93.9506209;97.0112592;99.4403031;135.118362;187.2715653;215.6217362;197.2401322;168.6197337;7.398593974;3.922040255;4.289041086;4.545814281;4.726897291;4.860962108;4.092380026;-6.082037401;-6.358188753;-4.46508862;-1.095933479;4.277775491;8.816963992;10.22786968;9.508371074;6.065730497;2.704905504;-1.856243691;-4.812350135;1.41098118;35.83813267;29.743173;32.84240833;98.365597;401.0189667;300.9536167;139.0261437;146.079723;198.9137897;211.2521117;119.7753807;60.11797167;7.48095102;4.157178341;4.044839771;3.418069758;3.768864039;4.191685376;7.97590416;1.070452304;7.747446233;7.28786642;3.496507561;4.700480366;4.553876892
78;8;21.42;61.4487;6.7426839;6840653;60541;3.700313832;2.405472936;4.683149227;1.753717099;74.96494687;16.38956498;39.54522986;0;0;0.318215522;17.30103806;29.65892239;0;0.149470082;206;457;759;1011;1225;1357;1487;1578;1619;1731;40;1691;61.49673357;6.740807507;6845984.46;61072.79559;10.32296439;21.84695748;10.63767523;40754.50938;160.0440169;114.31906;134.6258977;71.9865811;65.3610254;85.85666657;99.4527352;118.3420515;206.9908546;206.7933334;180.3236754;195.7355554;7.402348743;3.809336977;4.189848981;4.492503848;4.682427947;4.800093621;3.992894305;-7.46004137;-7.41159161;-5.853104504;-3.135772082;2.387684033;6.459652414;8.073989514;7.734943475;3.833980074;0.730909846;-3.85191168;-6.104028128;-0.382940835;34.2072;22.26756667;36.09696667;70.7692;207.7483667;344.8395667;310.9954333;214.9109667;183.0763667;143.8937333;62.8805;46.0752;7.425215485;4.465312721;4.365858699;3.680282351;4.034216956;4.483552261;7.947315114;0.285104723;6.937361402;6.91500794;2.833213344;4.744932128;4.624972813
171;4;19.528002;67.8120956;16.5147572;7522696;563832;4.209754414;2.431839585;3.524299579;2.811596073;69.39581452;61.39130235;0.16;0;0.15;10.68;5.12;78.38;0;1.718777215;421;575;632;694;762;787;840;907;1031;1371;15;1356;67.77947985;16.58374709;7519122.114;566883.4462;10.70494054;15.17298676;11.716019;88868.65313;108.6760199;89.32452793;71.91432843;57.72353223;51.62517437;66.9218408;92.0236815;96.9447266;120.309005;163.5944779;105.2085572;122.4483086;7.044655897;3.698201543;4.040468725;4.293348333;4.42702497;4.515229144;4.138185771;-10.78014284;-10.23276107;-8.193339757;-4.388454396;1.253445686;6.47773466;9.228586102;8.40325469;3.815932012;-0.700325797;-5.783275302;-9.108491405;-1.667319785;10.84083333;8.898;5.321833333;27.67616667;326.8553333;401.4153333;169.3305;114.5835;126.8155;129.333;29.7645;17.83533333;7.221594623;4.655932868;4.526839442;3.838560252;4.191279461;4.618014195;7.854715791;0.412569157;7.506264591;7.185160337;2.995732274;5.459585514;4.644390899
177;4;17.68;68.4074326;15.7054424;7588456;528971;3.375879574;1.984727088;4.140273494;2.269658511;18.6025439;21.90966282;0;0;1.71;10.05;19.97;54.5;0;2.273468157;88;138;191;235;302;387;457;556;624;970;18;952;68.4060257;15.65316493;7588275.079;526822.9074;10.36043284;22.33846292;10.49879981;25701.79887;136.810115;114.8581609;99.85045997;83.14586243;64.33908077;67.0318391;89.6250574;97.79528707;140.6224131;191.5051724;140.3971266;147.9311496;7.225417224;3.736437336;4.107192704;4.260978579;4.463129791;4.560461345;4.015733213;-5.175194671;-5.047982142;-3.929050794;-0.932777783;3.924490172;8.131590029;10.76755654;10.28738226;6.294693476;2.462710437;-1.311413779;-3.818720788;1.804440247;52.96476667;53.24663333;45.9164;137.7012;324.3635333;142.6324;101.6559333;103.4282;147.5938;185.1432667;107.3971;78.31496667;7.300039365;4.587733332;4.49032038;3.830193005;4.154184575;4.59663387;7.415934923;-0.076797989;7.122920232;6.77843669;2.944438979;4.584967479;4.394449155
68;1;2.4;60.9705315;5.2897968;6798491;-24332;1.497388409;0.829911012;4.922532413;1.141298074;62.05703084;44.29070776;0;0;0.22;21.48;23.94;53.91;0;21.33991074;410;410;424;441;463;491;515;539;559;624;410;214;60.96571798;5.302036056;6797833.417;-23792.40782;9.190915822;13.48670033;9.107803983;4622.074629;305.2273333;227.9873333;252.036;147.178;133.9406667;174.0186667;192.338;240.5133333;405.5473333;400.088;362.4946667;354.4173333;8.069588555;4.400480313;4.87847439;5.063607179;5.181221595;5.326953413;4.127275482;-2.960215054;-3.296946634;-1.515483871;0.924355556;6.030967742;9.767044444;10.91492473;10.70660215;7.576977778;4.879462366;0.612644444;-1.745268817;3.491255403;187.0266667;136.1133333;172.0733333;275.4333333;487.8733333;292.24;213.2066667;257.1333333;433.6466667;422.7533333;307.46;246.0533333;8.140610929;4.135416081;4.036831272;3.380604546;3.73485331;4.137918742;8.373374706;-0.785772134;7.610415574;6.941210529;3.17805383;5.318119994;5.030437921
229;1;134.9407575;70.3818665;26.6337242;7850100;933613;6.566067465;3.58213727;2.952302716;4.156536582;5.724980423;5.972330984;0;0;2.35;9.160275101;6.12;79.3;0;0.156080271;213;249;278;302;326;349;381;440;540;796;41;755;70.23352085;26.85289412;7835355.156;945184.783;12.26868191;4.750783242;13.82745688;679070.4599;29.1143646;23.57092917;20.13733873;21.62973383;19.17161977;33.11182057;53.5793373;51.50322553;44.6904013;43.42730657;33.83608757;30.0208073;6.000902302;2.803873764;3.130433301;3.334383011;3.437266354;3.560642123;4.150639363;-14.26362488;-13.70560999;-10.68437954;-5.336824309;1.065599378;7.302309987;10.70342143;8.566451624;3.660711636;-1.939203634;-8.304679256;-12.95821045;-2.991169833;0.66384;0.366053333;0.471526667;20.03230667;163.4924867;56.26609333;55.78417333;54.46894667;45.18323333;28.39426667;4.4768;0.523386667;6.064071478;3.821270387;3.732113934;3.109318496;3.458013871;3.888019273;6.244453797;1.20514083;7.261389419;6.862412706;3.295836866;4.744932128;4.143134726
84;15;115.565727;61.4906006;6.1072378;6849751;27503;5.952827663;3.529470452;4.336767728;3.693099786;30.34018379;6.14069613;6.8;3.02;1.8;11.49;21.96;46.63;0.06;10.21921224;207;362;523;638;748;852;961;1086;1278;1648;200;1448;61.53536896;6.388017789;6853146.779;42818.92031;11.73257981;20.11817398;13.32058937;507829.0947;197.5303367;146.7955874;171.7194815;94.63198627;79.56313447;107.1103196;128.4768912;146.9856563;261.7155871;252.0080313;223.1932552;246.8465027;7.628798117;4.081039694;4.399275016;4.661323996;4.87507569;4.999534181;4.130229839;-5.864376285;-5.822250395;-4.039554587;-1.209714439;4.417655576;8.355104472;9.843506627;9.429883005;5.55167529;2.463002667;-2.264492534;-4.556274714;1.35868039;66.35045333;41.48243333;64.50258;120.4606867;362.2296;385.5343333;271.0845333;198.2341933;264.7392267;230.9411333;118.77696;90.37760667;7.702878437;3.952291213;3.850693454;3.220958324;3.538502527;3.987557412;8.104859839;1.128003131;7.367761711;7.185072579;2.890371758;5.105945474;5.049856007
99;17;8.165;62.1976852;7.4954329;6918835;110113;3.90841651;2.764023885;3.918601321;2.994417801;54.42148854;51.53436265;1.590726616;0.110397431;0.676184263;14.46457246;10.7637495;70.52388599;0;6.12227896;744;1045;1280;1319;1325;1361;1423;1499;1590;1850;466;1384;62.12976275;7.540514123;6911030.754;111580.1252;10.65593329;19.92136015;10.91774594;37836.36425;94.3555766;72.0604487;80.49653787;48.20814097;38.03993603;48.4508334;68.57448733;70.89224337;108.7096798;109.8940387;104.5296793;118.1951925;6.869437225;3.481388001;3.832146941;4.028694303;4.184366892;4.313776106;4.10956387;-9.203172041;-8.982047157;-7.396321333;-4.797561963;0.94197684;5.000224354;6.61526261;6.390746497;2.389698723;-0.625198513;-5.414873937;-7.775148884;-1.904701234;3.605366667;3.9336;5.157266667;21.39086667;220.0432333;356.4051;228.6171667;106.0217333;96.34456667;70.67853333;14.78333333;6.248266667;7.032826388;4.137624188;4.040818559;3.387808314;3.723523519;4.156942003;7.67580696;0.160238497;7.009329428;6.632609426;2.63905733;5.087596335;4.454347296
2;142;144.305;60.6411705;12.0471249;6726448;338530;7.404291291;4.176973406;2.626840146;4.760670295;4.759287629;3.800582207;0;2.191087144;15.8853818;1.825905954;72.73192049;0;0;0.093340822;270;311;342;378;412;447;479;511;556;807;170;637;60.8562353;12.2075206;6750213.627;348472.5935;12.53175327;4.402179779;14.43949006;1767429.497;40.78664213;34.16959167;37.39067697;40.727831;57.3846655;74.3342972;87.60737973;78.95174677;88.24873827;74.26072747;63.47876053;47.31765677;6.585700805;3.384289529;3.683115449;3.821934411;3.871146676;4.003830722;4.129340208;-10.10429952;-9.230973081;-4.712738302;0.62803813;7.36692456;12.37664996;13.514876;11.98084418;7.369243863;2.742068363;-3.824383682;-8.461721215;1.637044105;3.17731;6.370703667;18.363561;133.6489477;145.199444;78.52903767;90.88692367;82.053974;93.22793033;68.66394467;30.39264067;5.742868;6.628381643;4.577083224;4.481972221;3.794607009;4.142109505;4.568900073;5.739897281;1.780293302;7.035198766;6.980745496;3.295836866;4.248495242;4.304065093
2;61;5.04;62.6465492;11.3535748;6951494;313143;3.235142797;2.275806406;2.916147794;2.491536286;21.91837308;11.69995365;0;0.12;9.43;12.93;36.64;14.82;0;6.371394008;791;806;816;827;839;853;868;889;917;1026;701;325;62.6845301;11.30444396;6955858.778;310877.6914;10.11351761;4.853339675;10.57048127;29258.67697;50.5625002;40.80124977;42.33388867;37.67541653;34.28902757;58.22083317;82.0433329;70.32083307;68.55624983;54.42916663;52.74569413;58.5725002;6.477819224;3.060563728;3.409771651;3.655570404;3.86208844;3.96812762;4.170100285;-10.6720699;-9.907149354;-7.046572563;-2.857250002;3.566388869;8.296671306;9.621218626;8.870425619;4.655495367;0.752338714;-5.43366205;-8.650224016;-0.733699116;1.374666667;1.336;3.0091;49.61296667;277.9155333;82.2448;87.3634;74.48163333;67.15143333;42.0168;8.534966667;1.409866667;6.545997678;4.046144016;3.948660312;3.275784016;3.63435877;4.034004491;6.414990798;0.02938047;7.335338473;7.04878866;3.17805383;4.584967479;4.343805422
