RN,HN,QD_fgp,ID
1,37,,1-37
2,1,0.443980769230769,2-1
2,11,0.290181132075472,2-11
2,13,0.38444693877551,2-13
2,15,,2-15
2,25,,2-25
2,28,0.44300701754386,2-28
2,32,0.43351914893617,2-32
2,36,0.281369230769231,2-36
2,61,0.3225,2-61
2,63,0.287788888888889,2-63
2,102,0.331795652173913,2-102
2,122,,2-122
2,129,,2-129
2,132,0.359341666666667,2-132
2,135,0.39804,2-135
2,142,0.383787719298246,2-142
2,145,,2-145
2,231,,2-231
2,235,0.335555555555556,2-235
2,265,0.322572916666667,2-265
2,267,0.296254,2-267
2,268,0.373966666666667,2-268
2,271,0.363006896551724,2-271
2,273,0.283542857142857,2-273
2,275,0.394214583333333,2-275
2,276,0.488591304347826,2-276
2,279,0.615987755102041,2-279
2,280,0.542741666666667,2-280
2,284,0.395043181818182,2-284
2,287,0.583739285714286,2-287
2,288,0.290829411764706,2-288
2,289,0.38343,2-289
2,290,0.329644897959184,2-290
2,291,0.186338775510204,2-291
2,294,0.3211,2-294
2,298,0.31175,2-298
2,300,0.305923529411765,2-300
2,304,0.141238888888889,2-304
2,323,0.696606666666667,2-323
2,329,0.568638709677419,2-329
2,331,0.692335294117647,2-331
2,415,0.3177375,2-415
2,439,0.314473076923077,2-439
2,451,0.334746153846154,2-451
2,463,0.636828571428571,2-463
2,464,0.652314285714286,2-464
2,465,0.698522222222222,2-465
2,479,0.566788888888889,2-479
2,481,0.488066666666667,2-481
2,578,0.3148875,2-578
2,592,0.347554545454545,2-592
2,603,,2-603
2,604,,2-604
2,607,0.250242857142857,2-607
2,611,,2-611
2,614,0.278154545454545,2-614
2,616,0.442572222222222,2-616
2,633,0.821808571428571,2-633
2,634,0.67695652173913,2-634
2,1036,0.855766666666667,2-1036
3,11,0.6825,3-11
3,22,0.759028205128205,3-22
6,10,0.610814583333333,6-10
6,71,0.812883333333333,6-71
8,2,0.78386170212766,8-2
8,6,0.84228947368421,8-6
8,8,0.879811111111111,8-8
11,4,0.6799,11-4
12,3,,12-3
12,7,,12-7
12,8,0.394380952380952,12-8
12,9,,12-9
12,13,0.543317073170732,12-13
12,15,,12-15
12,64,,12-64
12,69,,12-69
12,70,0.349601785714286,12-70
12,77,,12-77
12,80,,12-80
