"RN","HN","Y_lat","X_long","Y_utm","X_utm","A","C_L","Q_N","R_L","R_G","R_G_1085","A_Glac","A_Agr","A_Bog","A_L","A_For","A_Mount","A_U","A_LE","H_10","H_20","H_30","H_40","H_50","H_60","H_70","H_80","H_90","H_MAX","H_MIN","H_F","Y_G_Lat","X_G_Long","Y_G_UTM","X_G_UTM","O","C_S","R_TL","R_TL_net","P_Jan","P_Feb","P_Mar","P_Apr","P_Mai","P_Jun","P_Jul","P_Aug","P_Sep","P_Oct","P_Nov","P_Dec","P_N","P_Med1Max","P_Med2Max","P_Med3Max","P_Med4Max","P_Med5Max","P_S","T_Jan","T_Feb","T_Mar","T_Apr","T_Mai","T_Jun","T_Jul","T_Aug","T_Sep","T_Oct","T_Nov","T_Dec","T_N","W_Jan","W_Feb","W_Mar","W_Apr","W_Mai","W_Jun","W_Jul","W_Aug","W_Sep","W_Oct","W_Nov","W_Dec","W_N","W_Med1Max","W_Med2Max","W_Med3Max","W_Med4Max","W_Med5Max","Q_N_SN","A_P","D","D_net","M_200_h","M_200_d","M_200_d_SN","QD_fgp","P_summer","P_winter","T_summer","T_winter","W_summer","W_winter"
1,37,58.8921394,11.5270557,6533237,299905,691.92,39.53118444,19,82.51732514,2.447970772,2.068252533,0,9.249624234,6.937218176,9.827725749,73.41889236,0,0.144525379,2.805605726,77,105,123,135,143,152,160,171,188,265,36,229,58.81445423,11.60393326,6524331.889,303917.9064,213663.8896,4.47076393,1244011.915,1166733.691,62.39838403,47.3241608,51.50280423,46.017374,56.90561327,74.08132763,77.98222193,85.63003897,94.45384307,108.851164,96.51897083,67.3452143,869.011117,29.87799451,43.613564,51.83311698,56.01717202,64.07821099,62.38037439,-3.556461227,-3.655675845,-0.794824745,3.556322112,9.606884673,14.07806797,15.39041817,14.51030755,10.66885921,6.847027569,2.001683017,-1.583543911,5.589088711,53.21665667,40.07438667,66.44739,100.3695033,71.62132,88.67523667,99.21937,108.4388067,113.4686367,128.3704067,103.3704933,71.69767333,1044.96988,101.4614693,91.17614829,43.25045956,63.0908269,96.86880914,445.7028668,3.238357206,1797.912927,1686.226284,32.00000001,62.99999998,54.00000002,NA,65.353230005,79.4819561716667,9.391195955,1.78698146883333,89.128604445,85.0330422283333
2,1,61.0547714,12.0207348,6772548,339180,37.85,10.48,20.62000001,16.41,13.34,15.43,0,0.85,26.97,1.2,70.05,0,0,0.81,473,492,517,546,566,596,627,654,679,744,449,295,61.07476654,11.95591595,6774995.141,335829.0744,31216.86523,3.753770858,48633.85975,44168.35967,42.4339321,37.47034207,41.29564107,43.26769253,62.46452993,81.77581217,91.00376043,84.80991447,99.71914507,83.7630772,70.5373498,52.71794897,791.2591457,31.01282052,43.95000052,51.642308,56.7961545,63.02948703,62.79100765,-10.80943204,-9.972236117,-5.939633324,-0.616703693,6.193680743,11.34209688,12.50928868,10.98655914,6.314492883,1.756206239,-4.747629644,-9.054604352,0.663507116,1.152666667,2.756,9.297233333,112.6327667,245.3208667,86.67443333,96.9028,91.04226667,105.8621667,76.4413,24.13313333,1.718333333,853.9339663,52.33977347,47.84431902,26.43579587,34.22329601,55.54829636,515.1505129,1.212485614,1284.910423,1166.931563,26,80.00000003,77.00000001,0.443980769230769,67.4362251,64.4402992016667,5.74588140433333,-4.41886717183333,106.9783944555,35.3439333383333
2,11,62.3613167,11.4787827,6919394,317821,118.96,18.32130269,18.93,21.77990969,15.42706122,14.32512828,0,0,10.92804304,2.521856086,22.69670477,47.91526564,0,1.652470113,778,826,882,916,940,968,1006,1053,1106,1593,737,856,62.30651869,11.53892761,6913068.206,320609.2065,67195.11699,6.061916403,168939.6619,149708.6726,33.5852704,24.63048433,25.71441583,25.37037073,37.0566098,62.32025623,79.19706543,69.10319117,66.16230807,47.73239357,41.33703667,39.0932195,551.3026217,24.238889,32.64700849,39.25213702,44.43760698,48.7448715,65.08195481,-12.40315596,-11.50801188,-8.25524491,-3.446813858,3.286835767,8.362799623,9.664271695,8.661707587,4.23469895,0.048511163,-6.577889851,-10.32652238,-1.521567838,1.152953333,0.6967,2.9756,42.52819333,196.9658067,72.91913333,83.28686667,71.40986667,66.97466,36.37312667,5.770233333,0.5248,581.5779402,63.98703828,57.63703772,29.77407448,40.66481588,66.61666763,586.5447029,1.770366731,1420.138382,1258.479091,25,91.00000004,78.00000002,0.290181132075472,49.7936515316667,42.0901187566667,3.04559265066667,-6.08872832633333,78.3475777833333,18.5820788893333
2,13,61.5602722,8.9270668,6840237,177672,480.7,36.96920527,38.39,50.23203251,11.16817242,11.01554737,8.321198253,0,0.832119825,9.153318078,5.408778864,71.77033493,0,4.185934262,1014,1168,1319,1391,1462,1540,1643,1751,1891,2363,940,1423,61.47829905,8.624724484,6832626.767,161039.3049,145640.8589,16.07064947,588727.6077,460084.027,67.24671463,46.16324337,57.52064217,39.91452713,56.34027587,72.80731513,88.74742617,90.1239885,92.4611109,96.9628228,77.29939917,65.0814562,850.668922,28.42536201,37.59596301,45.89171901,51.833126,57.61676947,61.61190766,-11.31773035,-10.97740899,-9.320248002,-5.918619288,0.124331357,4.916962504,6.44649391,5.728562299,1.371579021,-2.136903976,-7.174837827,-9.648692769,-3.158876009,0.300633333,0.3941,0.936166667,6.951366667,191.8782333,362.8546667,210.8318433,119.6914167,84.69947,44.90063,2.677233333,0.469423333,1026.585183,147.1435939,132.6923089,60.48718074,88.11025747,136.5615402,1189.941794,3.300584754,1224.729784,957.1126001,16,52.00000002,57.00000001,0.38444693877551,67.5756958283333,74.202457845,0.329580463333333,-6.64733248183333,148.857282222333,22.2402483331667
2,15,62.0046158,7.6388078,6896570,115094,127.68,20.92424072,44.03000001,23.46365199,17.93071258,6.591755909,0.88,0,0.74,11,1.92,85.27,0,6.019619316,925,987,1024,1089,1160,1249,1333,1403,1471,1853,877,976,62.03667631,7.459256421,6901128.229,105973.594,68119.25785,13.55199112,217429.5785,154582.8889,90.65595217,69.77960297,76.37468243,42.10134933,35.79947113,48.68193097,66.7528312,68.6425133,104.5814815,107.0984923,98.4073281,112.9264286,921.8020636,29.30357151,43.37380949,56.26944397,64.7166665,70.56785703,62.36369125,-8.940250038,-8.715674971,-7.056311655,-4.249173731,1.559343744,5.686390663,7.292556751,6.975692111,2.916068787,-0.216626563,-5.101874787,-7.51440433,-1.447022002,2.554533333,3.2388,3.644896667,18.28553333,283.9579967,344.6813267,177.1865833,94.29484333,103.76443,83.21024333,16.58386,3.792333333,1135.19538,65.30869721,60.30434883,29.21739164,42.71304423,63.38695822,1966.276404,1.874359822,1702.925891,1210.705584,12.99999999,95.99999996,66.99999997,NA,56.3921297266667,97.2415476066667,1.70141631383333,-4.595460317,153.675196671167,35.5240333326667
2,25,61.817482,9.273941,6867140,198571,3977.820002,109.2547944,26.73,130.8013223,7.110019869,5.484144358,5.354664843,1.382659936,0.628481789,3.770890735,14.55563824,70.44023892,0.050278543,0.419663993,780,974,1114,1225,1326,1410,1498,1596,1732,2462,355,2107,61.85942732,8.266555878,6877489.758,146633.8325,529839.5639,13.76804215,4624019.47,4032310.508,52.22930267,35.95191887,39.93429753,21.60520427,28.17023597,44.67878703,60.18163593,57.51389743,65.6475978,67.09222,58.04634917,58.88483503,589.9362817,18.48363899,27.66200049,33.87001799,36.88113899,41.13783699,53.67371682,-10.29254569,-9.92889488,-8.034402865,-4.758008124,1.251687438,5.71884035,7.251956694,6.671404826,2.395627828,-1.027159955,-6.162418906,-8.684558987,-2.133206023,1.367801667,2.207071667,3.874833333,21.08331333,165.9928117,190.8892333,116.9875167,73.06814167,63.26252333,43.39676,7.065205,2.553111667,691.7483234,145.2755579,135.4400027,70.08666846,98.02222425,148.6288919,1046.040145,7.507593395,1162.450658,1013.698585,17,49.99999998,54.99999999,NA,42.0140096933333,56.3087039233333,1.3502463865,-5.61665843166667,95.3159750055,19.9754122218333
2,28,61.2154198,10.2693233,6795979,246027,869.75,49.02665952,16.47,66.6914082,11.45574851,10.59606756,0,6.438631791,13.68209256,2.414486922,57.94768612,7.933314171,0.114975568,0.048892072,500,658,749,812,850,884,917,960,1026,1513,199,1314,61.30666478,9.924996779,6807492.336,228647.4034,194229.7178,8.213828335,1236135.403,1134613.023,40.1997566,30.0448914,35.08072497,29.20400827,51.24438697,73.8881793,82.79543993,81.64016207,73.90316317,76.82002267,58.4235534,42.90634243,676.1506309,27.54635401,39.84629599,46.22667752,51.59965199,56.8673035,66.07634044,-10.46834205,-9.656213425,-6.679671703,-1.909825364,4.690417905,9.757376284,10.99616376,9.678105712,4.941462706,0.65441321,-5.218036774,-8.568884528,-0.148586188,1.28172,1.696923333,6.596266667,71.89229333,242.1397567,85.98337,90.69507667,88.68638333,78.14624333,62.01671333,12.27177,2.29245,743.6989665,73.03926527,66.7300624,32.56656501,47.62178011,70.73619763,623.8339499,4.47794501,1421.253692,1304.527765,19,72.99999999,71,0.44300701754386,58.975483585,53.7162882783333,4.42209443233333,-4.71926681016667,97.6655244495,26.2843033321667
2,32,61.8519402,10.2221193,6866933,248696,463.2999998,34.04627654,22.08999999,60.38623967,12.37036788,9.472356663,0,0.431685733,2.158428664,1.726742931,22.23181524,68.20634578,0,1.083813003,802,920,1018,1117,1203,1271,1356,1463,1591,2170,701,1469,61.92584572,9.937997574,6876340.963,234358.8433,126904.1797,14.05983023,593757.6925,555683.7444,25.5852014,19.0386924,21.2303373,19.37831913,36.13515797,61.94569703,77.5973276,65.76081147,54.3075288,49.5101652,35.67920263,27.8425937,494.0110345,22.554849,31.83221999,38.05204751,41.48997849,46.399677,61.14864376,-11.56801841,-10.83982171,-8.466632362,-4.44653854,2.073662868,7.005944912,8.336643246,7.428734004,2.961773699,-0.940915135,-6.754321582,-9.654720995,-2.0720175,0.715883333,0.8599,2.813586667,28.87935333,157.4600133,91.79201667,81.58824,68.74282,51.63718,32.80506,4.09951,0.9301,522.3236631,42.12848162,38.7594943,21.28481049,30.23544353,46.91139323,682.4711063,3.650785979,1281.583626,1199.403722,20.00000001,84.00000001,70,0.43351914893617,47.00794175,35.3272306883333,1.988635688,-6.13267068883333,71.8793383278333,15.1746055555
2,36,61.4183578,8.8944969,6824639,174466,24.93999999,5.880000001,34.17,8.27,47.85,37.09,0,0,0.88,4.3,2.61,92.33,0,3.13,1114,1164,1229,1279,1311,1335,1367,1426,1585,1841,1088,753,61.43215284,8.857809884,6826417.279,172669.6255,22972.83592,10.25736805,52913.73527,46629.49574,71.1852176,49.81101433,62.9376813,46.04492733,69.05101443,85.2385509,99.7084058,102.0739129,106.8547829,111.7062318,84.9489854,67.264058,956.8247832,34.780435,44.63260898,59.05217399,65.09999999,69.74782602,56.1434466,-11.07128565,-10.6683405,-8.844216919,-5.101719812,1.16423562,6.084057961,7.535432428,6.649602614,2.184826089,-1.523136987,-6.764309172,-9.345652169,-2.475042208,0.117666667,0.023333333,0.888333333,8.451533333,276.5866667,363.6063333,132.9045,110.0175333,99.7124,59.90583333,3.227666667,0.195433333,1055.637233,198.5857173,170.1142883,77.17142924,102.614284,177.2857187,1348.250579,1.085630006,2121.64135,1869.66703,16,62.99999998,67.99999999,0.281369230769231,77.50908211,81.961715005,1.24789864866667,-6.19798306483333,148.742483327667,27.197055555
2,61,62.6465492,11.3535748,6951494,313143,25.40999999,9.735766829,18.47,12.07981993,21.91837308,11.69995365,0,0.12,9.43,12.93,36.64,14.82,0,6.371394008,791,806,816,827,839,853,868,889,917,1026,701,325,62.6845301,11.30444396,6955858.778,310877.6914,24674.30283,4.853339675,38967.42306,29258.67697,50.5625002,40.80124977,42.33388867,37.67541653,34.28902757,58.22083317,82.0433329,70.32083307,68.55624983,54.42916663,52.74569413,58.5725002,650.5506929,21.33958349,30.25833401,38.68958352,47.56458349,52.88541648,64.72194242,-10.6720699,-9.907149354,-7.046572563,-2.857250002,3.566388869,8.296671306,9.621218626,8.870425619,4.655495367,0.752338714,-5.43366205,-8.650224016,-0.733699116,1.374666667,1.336,3.0091,49.61296667,277.9155333,82.2448,87.3634,74.48163333,67.15143333,42.0168,8.534966667,1.409866667,696.4511665,57.17655953,51.86583623,26.46396552,37.87755688,56.48665926,610.935139,1.029816334,1533.546756,1151.463084,23.99999999,98.00000003,77.00000001,0.3225,54.147221985,54.27789346,3.40848030916667,-4.87587853983333,95.7712388833333,20.3039555551667
