Nr,version,Navn,Areal (km2),Dailydata_Start,Dailydata_Slutt,Dailydata_Utlatt,Dailydata_N,Findata_Start,Findata_Slutt,Findata_Utelatt,Findata_N,RN,HN,Nedlagt.regulert
1.37,1,Kirkevatn,695,1914,1927,"",14,,,"",,1,37,
100.1,1,Alstad,226.31,1984,2015,"",32,1999,2015,"2008, 2013, 2014",14,100,1,
101.1,1,Engsetvatn,39.93,1924,2015,"",92,1991,2015,"",25,101,1,
102.1,1,Hildreelv,14.25,2007,2015,"",9,2007,2015,"",9,102,1,
103.1,2,Storhølen,435.51,1972,2015,"",44,1986,2015,1991,29,103,1,
103.21,1,Krossan,156,1973,1990,1976:1979,14,1985,1990,"",6,103,21,
103.3,2,Stuguflåten,377.02,1972,2015,"1993, 1994, 1995, 1996, 1997, 2010, 2012, 2013",36,1983,2015,"1986, 1987, 1993:1997, 2003, 2010, 2012, 2013",22,103,3,
103.40,1,Rauma v/Horgheim,1099.42,1913,2015,2012,102,1986,2015,2012,29,103,40,
103.6,1,Grøtta bru,"78,8",1917,1930,"",14,,,"",,103,6,
104.1,1,Lille Eikesdalsvatn,801.44,1907,1955,"",49,,,"",,104,1,
104.22,1,Midtre Mardalsvatn,13.68,1976,2015,2012,39,1976,2015,"1978, 1981:1987, 1996, 2012",30,104,22,
104.23,1,Vistdal,66.52,1976,2015,"",40,1976,2015,"",40,104,23,
105.1,2,Øren,137.59,1924,2015,"",92,1986,2015,1997,29,105,1,
109.1,1,Litledalselv,330,1913,1952,"",40,,,"",,109,1,
109.11,1,Vindal,161,1937,1951,"",15,,,"",,109,11,
109.12,1,Bruøy 1949-1966,474,1950,1990,"",41,1964,1990,"",27,109,12,
109.19,1,Ångårdsvatn,"88,5",1964,1972,"",9,,,"",,109,19,
109.21,1,Svoni,136.02,1970,2015,1995:1996,44,1981,2015,"1982:1985, 1991, 1995:1997, 2000",26,109,21,
109.29,1,Dalavatn,85.44,1975,2015,2013,40,1975,2015,"1977, 2013",39,109,29,
109.31,1,Grøli 1980-1983,108,1981,1993,"",13,1985,1993,1990,8,109,31,
109.35,1,Håkådalselv,23.62,1988,2014,2007:2008,25,1988,2014,"1990, 1994, 1998, 2001, 2003, 2007, 2008",20,109,35,
109.4,1,Gjevilvatn,169,1922,1950,"",29,,,"",,109,4,
109.42,1,Elvehøy Bru,2437.41,1908,1972,"",65,,,"",,109,42,R
109.9,1,Risefoss,745.38,1936,2015,"",80,1979,2015,"",37,109,9,
11.4,1,Elgtjern,6.63,1976,2007,1995,31,1977,2007,"1979, 1995",29,11,4,
111.1,1,Innerdalsvatn,"72,6",1967,1987,"",21,1986,1987,"",,111,1,
111.10,1,Nauståa,24.79,1979,2015,2008:2010,34,1979,2015,"1993, 1999, 2008:2010",32,111,10,
111.3,1,Todalselv,205,1908,1937,"",30,,,"",,111,3,
111.9,1,Søya,137.63,1975,2015,"",41,1975,2015,"1978, 1993, 1999, 2005, 2007",36,111,9,
112.3,1,Svorka,"83,3",1921,1961,1926:1939,27,,,"",,112,3,
112.5,1,Løsetli,196,1958,1967,"",10,,,"",,112,5,
112.6,1,Sjursberget,168,1958,1969,"",12,,,"",,112,6,
114.1,1,Myra,16.46,1989,2015,"1991, 2005",25,1989,2015,"1991:1993, 1995, 2000, 2002, 2005, 2009, 2010",18,114,1,
12.106,1,Vikevatn,135,1919,1974,1926:1955,26,,,"",,12,106,
12.110,1,Ølsjø,793,1929,1947,"",19,,,"",,12,110,
12.113,2,Kråkefjord ndf.,702.16,1976,1988,"",13,1986,1988,"",3,12,113,
12.114,1,Garhammerfoss,492.53,1937,2015,1979:2006,51,2007,2015,"",9,12,114,
12.13,1,Rysna,50.76,1974,2015,2002,41,1974,2015,"1977, 1982:1985, 1990, 2002",35,12,13,
12.130,1,Flævatn,184,1947,1957,"",11,,,"",,12,130,
12.137,1,Gjærdeslåtten,774.58,1952,1956,"",5,,,"",,12,137,R
12.147,1,Brautemotjern,59.1,1957,1972,"",16,,,"",,12,147,
12.15,1,Strømstøa,4631.48,1906,1915,"",10,,,"",,12,15,
12.150,1,Buvatn,24.79,1963,2015,"2002, 2003, 2006:2010",46,1963,2015,"1964, 1972:1983, 1985, 1988, 1989, 2002, 2003, 2006:2010",30,12,150,
12.171,1,Hølervatn,79.75,1969,2015,"",47,1969,2015,"1973, 1978, 1985:1988",41,12,171,
12.178,1,Eggedal,309.77,1972,2015,"",44,1972,2015,"1973, 1974, 2011",41,12,178,
12.183,1,Ala 1976-1987,26.6,1974,1985,"",12,1974,1984,"1976, 1979",9,12,183,
12.193,1,Fiskum,51.6,1977,2015,"",39,1980,2015,"1981, 1983, 2001",33,12,193,
12.197,1,Grunke,184.46,1978,2015,"2001:2003, 2005",34,1978,2015,"1979, 1999, 2001:2003, 2005",32,12,197,
12.200,1,Kolbjørnshus,2064.45,1979,1987,"",9,1986,1987,"",2,12,200,
12.207,1,Vinde-elv,269.34,1982,2015,2002,33,1982,2015,"1991, 2002",32,12,207,
12.209,1,Urula,542.89,1985,2015,"",31,1986,2015,"1990, 2001, 2006",27,12,209,
12.212,1,Hangstjern,11.13,1987,2015,"",29,1987,2015,"",29,12,212,
12.215,1,Storeskar,119.43,1988,2015,"",28,1988,2015,"",28,12,215,
12.286,0,Jaren ndf.,113.26,1925,2015,"1939:1941, 1955, 1956, 1982, 1983, 1992:2007",68,1986,2015,1986:2024,14,12,286,
12.3,1,Hen,4843,1870,1903,"1872, 1873, 1875, 1886, 1887",29,,,"",,12,3,
12.64,1,Haugastøl,381,1911,1922,"",12,,,"",,12,64,
12.69,1,Randsfjord,3692,1870,1871,"",2,,,"",,12,69,
12.7,1,Høvsfjord,785,1919,1929,"",11,1929,1929,"",,12,7,
12.70,1,Etna,570.17,1920,2015,"",96,1983,2015,"",33,12,70,
12.77,1,Slidrefjord 1907-1948,763,1908,1944,"",37,,,"",,12,77,
12.8,1,Grønvold Bru,933.48,1964,1987,1976:1978,21,,,"",,12,8,
12.80,1,Strandefjord,1796,1908,1918,"",11,,,"",,12,80,
12.95,1,Ustedalsvatn,570,1909,1964,"",56,,,"",,12,95,
12.96,1,Oppsjø bru,1704,1918,1930,"",13,,,"",,12,96,
12.97,1,Bergheim,4248.54,1921,1934,"",14,,,"",,12,97,R
12.99,1,Skålfoss,5126.71,1891,1934,"",44,,,"",,12,99,
121.13,1,Grana,212.51,1962,1978,"",17,,,"",,121,13,
121.14,1,Svorksjøen,103.23,1965,1977,"",13,,,"",,121,14,
121.20,1,Åmot,282.36,1988,2015,1992:1993,26,1988,2015,1992:1993,26,121,20,
121.22,1,Syrstad,2278.13,1913,1939,"",27,,,"",,121,22,R
121.9,1,Næverdal,793.85,1967,1981,"",15,,,"",,121,9,
