Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
1.37	1	1	2	FALSE	FALSE	Kirkevatn	695	1914	1927		14				
2.1	1	1	1	FALSE	FALSE	Hådammen	38.07	1990	2015		26	1998	2015		18
2.11	1	1	2	FALSE	FALSE	Narsjø	119.13	1931	2015	1974	84	1987	2015	1993	28
2.13	1	1	2	FALSE	FALSE	Sjodalsvatn	479.97	1982	2015		34	1986	2015		30
2.15	1	1	2	FALSE	FALSE	Breiddalsvatn ndf.	127.62	1918	1943		26				
2.21	1	1	2	FALSE	FALSE	Visa	245	1981	1990		10	1986	1990		5
2.25	1	1	2	FALSE	FALSE	Lalm	3982.39	1907	1940		34				
2.28	1	1	2	FALSE	FALSE	Aulestad	866.25	1930	2015		86	1999	2015		17
2.32	1	1	2	FALSE	FALSE	Atnasjø	463.2	1917	2015		99	1986	2015	1995, 2003	28
2.36	1	1	2	FALSE	FALSE	Øvre Heimdalsvatn	24.91	2000	2015	2002, 2003, 2005	13	2000	2015	2002, 2003, 2005	13
2.61	1	1	2	FALSE	FALSE	Orva	25.44	1996	2015	1999, 2001, 2002	17	1998	2015	1999, 2001, 2002, 2006	14
2.63	1	1	2	FALSE	FALSE	Rudi		1988	2012	1992:1997, 2005	18	1998	2012	2005	14
2.102	1	1	3	FALSE	FALSE	Gjende	376	1967	1989		23	 	1989	1987	3
2.122	1	1	3	FALSE	FALSE	Skarnes	20300.47	1888	1895		8				
2.129	1	1	3	FALSE	FALSE	Dølplass	2014.27	1909	1954	1934:1936	43				
2.132	1	1	3	FALSE	FALSE	Lomnessjø	1165.17	1929	1970	1946:1948, 1969	38				
2.135	1	1	3	FALSE	FALSE	Tysla	231	1920	1996	1928:1961	43				
2.142	1	1	3	FALSE	FALSE	Knappom	1646	1917	2015	2013	98	2000	2015	2013	15
2.145	1	1	3	FALSE	FALSE	Losna	11212.84	1896	1916		21				
2.231	1	1	3	FALSE	FALSE	Dalsbygdens El. Verk	355	1938	1955		18				
2.235	1	1	3	FALSE	FALSE	Grimsmoen	627.05	1998	2015		18	1998	2015	2008	17
2.265	1	1	3	FALSE	FALSE	Unsetåa	618.36	1962	2015	1988:1990, 1992, 1993, 2011	48	1999	2015	2002, 2011	15
2.267	1	1	3	FALSE	FALSE	Mistra Bru	549.86	1962	2015	1988, 1989, 1992, 1998	50	1999	2015		17
2.268	1	1	3	FALSE	FALSE	Akslen	790.9	1962	2015		54	1986	2014	1992, 1994:1998	23
2.273	1	1	3	FALSE	FALSE	Ryfetten 1964-1967	1314	1965	1985		21				
2.275	1	1	3	FALSE	FALSE	Liavatn	211.26	1965	2015	2001, 2002, 2012	48	1986	2015	2001, 2002, 2005, 2006, 2012, 2014	25
2.276	1	1	3	FALSE	FALSE	Furusjøen 1964-1966	68.1	1965	1987		23	1986	1987		2
2.279	1	1	3	FALSE	FALSE	Kråkfoss	432.35	1967	2015		49	1967	2015	1975, 1979, 1980, 1981, 1984, 1997, 1998	42
2.280	1	1	3	TRUE	FALSE	Kringlerdal	265.44	1967	2015	2004	48	1986	2015	1996, 1998, 2002:2004	25
2.284	1	1	3	FALSE	FALSE	Sælatunga	454.83	1967	2015	1974:1978	44	1999	2015		17
2.287	1	1	3	FALSE	FALSE	Rotua 1966-1973	56.1	1967	1994		28	1967	1993	1970, 1972	25
2.288	1	1	3	FALSE	FALSE	Harasjøen	52.8	1967	2000		34				
2.289	1	1	3	FALSE	FALSE	Høydalsvatn	78.7	1967	1986		20	1986	1986		1
2.290	1	1	3	TRUE	FALSE	Brustuen	253.93	1967	2015		49	1986	2015		30
2.291	1	1	3	FALSE	FALSE	Tora	262.27	1967	2015		49	1988	2015	2010	27
2.298	1	1	3	FALSE	FALSE	Russa	145	1969	1980		12				
2.300	1	1	3	TRUE	TRUE	Bøvertjern	76.1	1968	1984		17				
2.304	1	1	3	FALSE	FALSE	Jora	271	1968	1985		18				
2.323	1	1	3	FALSE	FALSE	Fura	42.47	1971	2015		45	1971	2015	1982:1984, 2007	41
2.329	1	1	3	FALSE	FALSE	Hellen bru 1970-1983	81.3	1971	2001		31	1971	2001	1983, 1996	29
2.331	1	1	3	FALSE	FALSE	Kauserud	91.2	1999	2015		17				
2.415	1	1	3	FALSE	FALSE	Espedalsvatn	95.19	1976	2015	2000:2007	32	1986	2015	1993, 1994, 1996, 2000:2007	19
2.439	1	1	3	FALSE	FALSE	Kvarstadseter	377.09	1984	2015	1986, 1987, 1994:1997	26	1988	2015	1989, 1994:1997	23
2.451	1	1	3	FALSE	FALSE	Nordre Osa	447.09	1989	2015	2010	26	2000	2015	2003, 2010	14
2.457	1	1	3	FALSE	FALSE	Fossum Bru	1136.62	1985	2015	1987, 2012	29	1999	2015	2003:2006, 2012	12
2.463	1	1	3	FALSE	FALSE	Vismunda	190.65	1987	2015	1992	28	1987	2015	1988, 1992, 2013	26
2.464	1	1	3	FALSE	FALSE	Svartelva	459.03	1987	2015	1996	28	1987	2015	1991, 1995, 1996	26
2.465	1	1	3	FALSE	FALSE	Flagstadelva	173.13	1987	2014	1996	27	1997	2014	2008	17
2.479	1	1	3	FALSE	FALSE	Li Bru	156.81	1998	2015		18	1998	2015		18
2.578	1	1	3	FALSE	FALSE	Imssjøen S.	157.97	2003	2015	2007, 2010:2012	9	2003	2015	2006, 2007, 2010:2013	8
2.592	1	1	3	FALSE	FALSE	Fokstua	26.37	2005	2015		11	2005	2015		11
2.603	1	1	3	FALSE	FALSE	Glåmos bru	861.32	1903	1916		14				
2.604	1	1	3	FALSE	FALSE	Elverum	15451.76	1872	1912		41				
2.607	1	1	3	FALSE	FALSE	Vålåsjø	125.44	1980	2015	1996	35	1988	2015	1990, 1996:1998, 2012	23
2.611	1	1	3	FALSE	FALSE	Storsjøen ndf. -Øra	2337.11	1903	1930	1907:1909	25				
2.614	1	1	3	FALSE	FALSE	Rosten	1833.91	1918	2015		98	1986	2015	1998, 2004	28
2.616	1	1	3	FALSE	FALSE	Sagstua	48.38	1978	2015	1993, 2003	36	1978	2015	1988, 1993, 2003	35
2.633	1	1	3	FALSE	FALSE	Stortorp	87.13	1980	2015	1998	35	1999	2015	2010, 2012	15
2.634	1	1	3	FALSE	FALSE	Lena	182.6	1993	2015		23	2001	2015		15
2.1036	1	1	4	FALSE	FALSE	Hæra v/Løkkeborg	132.84	2006	2015	2009	9	2006	2015	2009	9
3.11	1	1	2	FALSE	FALSE	Sagstubekken	3.08	1952	1973		22	1952	1973		22
3.22	1	1	2	FALSE	FALSE	Høgfoss	299.29	1977	2015		39	1977	2015	1984, 1987	37
6.10	1	1	2	TRUE	FALSE	Gryta	7.03	1968	2015		48	1968	2015		48
6.71	1	1	2	FALSE	FALSE	Sinnerdammen	7.63	2006	2013	2008:2009	6	2006	2013	2008:2009	6
8.2	1	1	1	FALSE	FALSE	Bjørnegårdsvingen	190.19	1969	2015		47	1986	2015	1987, 1989, 2007	27
8.6	1	1	1	FALSE	FALSE	Sæternbekken	6.23	1972	2015	1973, 1974, 1984, 1987, 1988, 2001	38	1972	2015	1973, 1974, 1984:1988, 2001	36
8.8	1	1	1	FALSE	FALSE	Blomsterkroken	22.2	1976	2002		27	1976	2002	1988, 1989, 2000	24
