"ID" "yk" "grunn"
"10000001" 2008 "tabell A2"
"10000001" 2013 "tabell A2"
"10000001" 2014 "tabell A2"
"10300001" 1991 "tabell A2"
"10300003" 1986 "tabell A2"
"10300003" 1987 "tabell A2"
"10300003" 1993 "tabell A2"
"10300003" 1994 "tabell A2"
"10300003" 1995 "tabell A2"
"10300003" 1996 "tabell A2"
"10300003" 1997 "tabell A2"
"10300003" 2003 "tabell A2"
"10300003" 2010 "tabell A2"
"10300003" 2012 "tabell A2"
"10300003" 2013 "tabell A2"
"10300040" 2012 "tabell A2"
"10400022" 1978 "tabell A2"
"10400022" 1981 "tabell A2"
"10400022" 1982 "tabell A2"
"10400022" 1983 "tabell A2"
"10400022" 1984 "tabell A2"
"10400022" 1985 "tabell A2"
"10400022" 1986 "tabell A2"
"10400022" 1987 "tabell A2"
"10400022" 1996 "tabell A2"
"10400022" 2012 "tabell A2"
"10500001" 1997 "tabell A2"
"10900021" 1982 "tabell A2"
"10900021" 1983 "tabell A2"
"10900021" 1984 "tabell A2"
"10900021" 1985 "tabell A2"
"10900021" 1991 "tabell A2"
"10900021" 1995 "tabell A2"
"10900021" 1996 "tabell A2"
"10900021" 1997 "tabell A2"
"10900021" 2000 "tabell A2"
"10900029" 1977 "tabell A2"
"10900029" 2013 "tabell A2"
"10900031" 1990 "tabell A2"
"10900035" 1990 "tabell A2"
"10900035" 1994 "tabell A2"
"10900035" 1998 "tabell A2"
"10900035" 2001 "tabell A2"
"10900035" 2003 "tabell A2"
"10900035" 2007 "tabell A2"
"10900035" 2008 "tabell A2"
"1100004" 1979 "tabell A2"
"1100004" 1995 "tabell A2"
"11100009" 1978 "tabell A2"
"11100009" 1993 "tabell A2"
"11100009" 1999 "tabell A2"
"11100009" 2005 "tabell A2"
"11100009" 2007 "tabell A2"
"11100010" 1993 "tabell A2"
"11100010" 1999 "tabell A2"
"11100010" 2008 "tabell A2"
"11100010" 2009 "tabell A2"
"11100010" 2010 "tabell A2"
"11400001" 1991 "tabell A2"
"11400001" 1992 "tabell A2"
"11400001" 1993 "tabell A2"
"11400001" 1995 "tabell A2"
"11400001" 2000 "tabell A2"
"11400001" 2002 "tabell A2"
"11400001" 2005 "tabell A2"
"11400001" 2009 "tabell A2"
"11400001" 2010 "tabell A2"
"1200013" 1977 "tabell A2"
"1200013" 1982 "tabell A2"
"1200013" 1983 "tabell A2"
"1200013" 1984 "tabell A2"
"1200013" 1985 "tabell A2"
"1200013" 1990 "tabell A2"
"1200013" 2002 "tabell A2"
"1200150" 1964 "tabell A2"
"1200150" 1972 "tabell A2"
"1200150" 1973 "tabell A2"
"1200150" 1974 "tabell A2"
"1200150" 1975 "tabell A2"
"1200150" 1976 "tabell A2"
"1200150" 1977 "tabell A2"
"1200150" 1978 "tabell A2"
"1200150" 1979 "tabell A2"
"1200150" 1980 "tabell A2"
"1200150" 1981 "tabell A2"
"1200150" 1982 "tabell A2"
"1200150" 1983 "tabell A2"
"1200150" 1985 "tabell A2"
"1200150" 1988 "tabell A2"
"1200150" 1989 "tabell A2"
"1200150" 2002 "tabell A2"
"1200150" 2003 "tabell A2"
"1200150" 2006 "tabell A2"
"1200150" 2007 "tabell A2"
"1200150" 2008 "tabell A2"
"1200150" 2009 "tabell A2"
"1200150" 2010 "tabell A2"
"1200171" 1973 "tabell A2"
"1200171" 1978 "tabell A2"
"1200171" 1985 "tabell A2"
"1200171" 1986 "tabell A2"
"1200171" 1987 "tabell A2"
"1200171" 1988 "tabell A2"
"1200178" 1973 "tabell A2"
"1200178" 1974 "tabell A2"
"1200178" 2011 "tabell A2"
"1200183" 1976 "tabell A2"
"1200183" 1979 "tabell A2"
"1200193" 1981 "tabell A2"
"1200193" 1983 "tabell A2"
"1200193" 2001 "tabell A2"
"1200197" 1979 "tabell A2"
"1200197" 1999 "tabell A2"
"1200197" 2001 "tabell A2"
"1200197" 2002 "tabell A2"
"1200197" 2003 "tabell A2"
"1200197" 2005 "tabell A2"
"1200207" 1991 "tabell A2"
"1200207" 2002 "tabell A2"
"1200209" 1990 "tabell A2"
"1200209" 2001 "tabell A2"
"1200209" 2006 "tabell A2"
"1200286" 1992 "tabell A2"
"1200286" 1993 "tabell A2"
"1200286" 1994 "tabell A2"
"1200286" 1995 "tabell A2"
"1200286" 1996 "tabell A2"
"1200286" 1997 "tabell A2"
"1200286" 1998 "tabell A2"
"1200286" 1999 "tabell A2"
"1200286" 2000 "tabell A2"
"1200286" 2001 "tabell A2"
"1200286" 2002 "tabell A2"
"1200286" 2003 "tabell A2"
"1200286" 2004 "tabell A2"
"1200286" 2005 "tabell A2"
"1200286" 2006 "tabell A2"
"1200286" 2007 "tabell A2"
"12100020" 1992 "tabell A2"
"12100020" 1993 "tabell A2"
"12200009" 1993 "tabell A2"
"12200009" 1994 "tabell A2"
"12200011" 1975 "tabell A2"
"12200011" 1976 "tabell A2"
"12200011" 1977 "tabell A2"
"12200011" 1978 "tabell A2"
"12200011" 1979 "tabell A2"
"12200011" 1980 "tabell A2"
"12200011" 1981 "tabell A2"
"12200011" 1982 "tabell A2"
"12200011" 1983 "tabell A2"
"12200011" 1984 "tabell A2"
"12200011" 1985 "tabell A2"
"12200011" 2013 "tabell A2"
"12200017" 2001 "tabell A2"
"12200017" 2002 "tabell A2"
"12200017" 2003 "tabell A2"
"12200017" 2004 "tabell A2"
"12200017" 2005 "tabell A2"
"12200017" 2006 "tabell A2"
"12200017" 2010 "tabell A2"
"12200017" 2013 "tabell A2"
"12400002" 1974 "tabell A2"
"12400002" 1977 "tabell A2"
"12400002" 1979 "tabell A2"
"12400002" 1991 "tabell A2"
"12400002" 2014 "tabell A2"
"12400013" 2008 "tabell A2"
"12400013" 2009 "tabell A2"
"12400013" 2010 "tabell A2"
"12400013" 2011 "tabell A2"
"12400013" 2012 "tabell A2"
"12400013" 2013 "tabell A2"
"12400013" 2014 "tabell A2"
"12400014" 1990 "tabell A2"
"12400015" 1994 "tabell A2"
"12400015" 1998 "tabell A2"
"12400015" 2002 "tabell A2"
"12400015" 2005 "tabell A2"
"12400015" 2006 "tabell A2"
"12400015" 2010 "tabell A2"
"12600002" 1999 "tabell A2"
"12600002" 2002 "tabell A2"
"12600002" 2004 "tabell A2"
"12600002" 2012 "tabell A2"
"12600002" 2013 "tabell A2"
"12600002" 2014 "tabell A2"
"12700013" 1991 "tabell A2"
"12700013" 2002 "tabell A2"
"12700013" 2006 "tabell A2"
"12700013" 2008 "tabell A2"
"13300007" 1984 "tabell A2"
"13300007" 1989 "tabell A2"
"13800001" 1983 "tabell A2"
"13800001" 1986 "tabell A2"
"13900020" 1988 "tabell A2"
"13900025" 1993 "tabell A2"
"13900025" 1998 "tabell A2"
"13900025" 2001 "tabell A2"
"13900025" 2011 "tabell A2"
"13900025" 2013 "tabell A2"
"13900025" 2014 "tabell A2"
"14000002" 2014 "tabell A2"
"14200001" 1987 "tabell A2"
"14200001" 1988 "tabell A2"
"14800002" 1994 "tabell A2"
"14800002" 1995 "tabell A2"
"14800002" 1996 "tabell A2"
"14800002" 1997 "tabell A2"
"14800002" 1998 "tabell A2"
"15000001" 1973 "tabell A2"
"15000001" 1974 "tabell A2"
"15000001" 1975 "tabell A2"
"15000001" 1976 "tabell A2"
"15000001" 1982 "tabell A2"
"15000001" 1985 "tabell A2"
"15000001" 1986 "tabell A2"
"15000001" 1987 "tabell A2"
"15000001" 1988 "tabell A2"
"15000001" 2003 "tabell A2"
"15000001" 2013 "tabell A2"
"1500049" 1970 "tabell A2"
"1500049" 1971 "tabell A2"
"1500049" 1974 "tabell A2"
"1500049" 1976 "tabell A2"
"1500049" 1982 "tabell A2"
"1500049" 1992 "tabell A2"
"1500053" 2002 "tabell A2"
"1500055" 1968 "tabell A2"
"1500055" 1970 "tabell A2"
"1500055" 1973 "tabell A2"
"1500055" 1976 "tabell A2"
"1500072" 1987 "tabell A2"
"1500079" 2004 "tabell A2"
"1500174" 2011 "tabell A2"
"15100012" 1976 "tabell A2"
"15100015" 1971 "tabell A2"
"15100020" 1990 "tabell A2"
"15100020" 1992 "tabell A2"
"15100020" 1993 "tabell A2"
"15100021" 1992 "tabell A2"
"15100021" 2001 "tabell A2"
"15100028" 2010 "tabell A2"
"15100028" 2013 "tabell A2"
"15200004" 1981 "tabell A2"
"15200004" 1982 "tabell A2"
"15200004" 1983 "tabell A2"
"15200004" 1984 "tabell A2"
"15200004" 1985 "tabell A2"
"15200004" 1986 "tabell A2"
"15200004" 1987 "tabell A2"
"15200004" 1988 "tabell A2"
"15200004" 1991 "tabell A2"
"15500027" 2000 "tabell A2"
"15600008" 1971 "tabell A2"
"15600008" 1972 "tabell A2"
"15600008" 1973 "tabell A2"
"15600008" 1974 "tabell A2"
"15600008" 1975 "tabell A2"
"15600008" 1976 "tabell A2"
"15600008" 1977 "tabell A2"
"15600008" 1978 "tabell A2"
"15600008" 1979 "tabell A2"
"15600008" 1980 "tabell A2"
"15600008" 1981 "tabell A2"
"15600008" 1982 "tabell A2"
"15600008" 1983 "tabell A2"
"15600008" 1985 "tabell A2"
"15600008" 1986 "tabell A2"
"15600008" 1987 "tabell A2"
"15600008" 1988 "tabell A2"
"15600008" 1990 "tabell A2"
"15600008" 1996 "tabell A2"
"15600008" 1998 "tabell A2"
"15600008" 2009 "tabell A2"
"15600010" 2009 "tabell A2"
"15600015" 1979 "tabell A2"
"15600015" 1980 "tabell A2"
"15600015" 1981 "tabell A2"
"15600015" 1982 "tabell A2"
"15600015" 1983 "tabell A2"
"15600015" 1984 "tabell A2"
"15600015" 1985 "tabell A2"
"15600015" 1986 "tabell A2"
"15600015" 1987 "tabell A2"
"15600015" 1988 "tabell A2"
"15600015" 2006 "tabell A2"
"15600015" 2007 "tabell A2"
"15600017" 1990 "tabell A2"
"15600017" 2001 "tabell A2"
"15600017" 2005 "tabell A2"
"15600017" 2012 "tabell A2"
"15600024" 1977 "tabell A2"
"15600024" 1978 "tabell A2"
"15600024" 1979 "tabell A2"
"15600024" 1983 "tabell A2"
"15600024" 1985 "tabell A2"
"15600024" 2010 "tabell A2"
