"ID","yk"
"10000001",2008
"10000001",2013
"10000001",2014
"10300001",1991
"10300003",2010
"10300003",2013
"10300040",2012
"10400022",2012
"10900021",1991
"10900029",2013
"10900035",2003
"10900035",2007
"10900035",2008
"1100004",1979
"11100009",1978
"11100009",1993
"11100009",1999
"11100009",2005
"11100009",2007
"11100010",1993
"11100010",1999
"11100010",2010
"11400001",1992
"11400001",1993
"11400001",1995
"11400001",2000
"11400001",2002
"11400001",2004
"11400001",2005
"11400001",2009
"11400001",2010
"1200013",1977
"1200013",2002
"1200150",1972
"1200150",1973
"1200150",1974
"1200150",1975
"1200150",1976
"1200150",1977
"1200150",1978
"1200150",1979
"1200150",1980
"1200150",1981
"1200150",1982
"1200150",1983
"1200150",1985
"1200150",2002
"1200150",2009
"1200171",1973
"1200171",1985
"1200171",1986
"1200178",1974
"1200178",2011
"1200193",1983
"1200193",2001
"1200197",1999
"1200197",2005
"1200207",1991
"1200207",2002
"1200209",1990
"1200209",2001
"1200209",2006
"1200286",1925
"1200286",1926
"1200286",1927
"1200286",1928
"1200286",1929
"1200286",1930
"1200286",1931
"1200286",1932
"1200286",1933
"1200286",1934
"1200286",1935
"1200286",1936
"1200286",1937
"1200286",1938
"1200286",1941
"1200286",1942
"1200286",1943
"1200286",1944
"1200286",1945
"1200286",1946
"1200286",1947
"1200286",1948
"1200286",1949
"1200286",1950
"1200286",1951
"1200286",1952
"1200286",1953
"1200286",1954
"1200286",1955
"1200286",1956
"1200286",1957
"1200286",1958
"1200286",1959
"1200286",1960
"1200286",1961
"1200286",1962
"1200286",1963
"1200286",1964
"1200286",1965
"1200286",1966
"1200286",1967
"1200286",1968
"1200286",1969
"1200286",1970
"1200286",1971
"1200286",1972
"1200286",1973
"1200286",1974
"1200286",1975
"1200286",1976
"1200286",1977
"1200286",1978
"1200286",1979
"1200286",1980
"1200286",1981
"1200286",1984
"1200286",1985
"12100020",1992
"12100020",1993
"12200011",1975
"12200011",1976
"12200011",1977
"12200011",1978
"12200011",1979
"12200011",1980
"12200011",1981
"12200011",1982
"12200011",1983
"12200011",1984
"12200011",1985
"12200011",2013
"12200017",2001
"12200017",2002
"12200017",2003
"12200017",2004
"12200017",2005
"12200017",2006
"12200017",2010
"12200017",2013
"12400002",1974
"12400002",1977
"12400002",1979
"12400002",1991
"12400002",2014
"12400015",1994
"12400015",1998
"12400015",2002
"12400015",2005
"12400015",2006
"12400015",2010
"12600002",2004
"12600002",2013
"12600002",2014
"12700013",1991
"12700013",2002
"12700013",2006
"13300007",1984
"13300007",1989
"13800001",1986
"13900025",1998
"13900025",2013
"13900025",2014
"14000002",2014
"14200001",1987
"14200001",1988
"15000001",2003
"15000001",2013
"1500049",1970
"1500049",1971
"1500049",1974
"1500049",1976
"1500049",1982
"15100021",1992
"15100021",2001
"15200004",1981
"15200004",1982
"15200004",1983
"15200004",1984
"15200004",1985
"15200004",1986
"15200004",1987
"15200004",1988
"15600008",1959
"15600008",1987
"15600008",1988
"15600008",1990
"15600017",1990
"15600017",2012
"1600066",1957
"1600122",2001
"1600122",2005
"1600127",1986
"1600189",2000
"1600189",2006
"1600193",2002
"1600194",2000
"16300005",1996
"16300005",2002
"16300006",2007
"16300006",2013
"16700002",1973
"16800001",2007
"16800001",2011
"17400003",2003
"17400011",2010
"17800001",1980
"18000001",1992
"18000001",1993
"1800010",1993
"1800010",1994
"1800011",1988
"18500001",2008
"18900003",1994
"18900003",2014
"1900073",1986
"1900080",1994
"1900080",2000
"1900080",2009
"1900082",1987
"1900107",1993
"1900107",1995
"1900107",1996
"1900107",2002
"1900107",2004
"1900107",2007
"19600007",1992
"19600007",1998
"20000004",1990
"20000004",1992
"20000004",1997
"20000004",2001
"20000004",2007
"20000004",2012
"2000002",1990
"200011",1993
"200032",1995
"200142",2013
"200265",2002
"200265",2011
"200268",1996
"200268",1997
"200268",1998
"200275",2005
"200275",2006
"200275",2012
"200275",2014
"200279",1997
"200279",1998
"200291",2010
"200323",1982
"200323",1983
"200323",1984
"200323",2007
"200329",1996
"200415",1993
"200415",1994
"200415",1996
"200415",2000
"200451",2010
"200457",2012
"200463",1988
"200463",1992
"200463",2013
"200607",1997
"200614",1998
"200616",1993
"200633",2010
"20300002",2011
"20600003",1978
"20600003",1981
"20600003",1993
"20600003",1995
"20600003",1996
"20600003",2004
"20800002",2011
"2100047",2012
"21200049",2002
"21300002",1993
"21300002",1997
"21300002",2005
"21300002",2010
"2200016",2007
"2200022",1979
"23400004",1976
"23400004",1977
"23400004",1983
"23700001",1986
"23700001",1996
"23700001",2007
"24400002",2011
"2600020",2009
"2600064",2001
"2600064",2009
"2600064",2011
"2700015",1988
"2700015",1992
"2700015",1993
"2700015",1994
"2700015",1995
"2700016",1991
"2700016",2004
"2700025",1992
"2700025",2002
"300022",1984
"300022",1987
"30700014",1972
"30700014",1982
"31100004",1997
"31100004",1998
"31100460",1995
"3300010",2005
"3300010",2009
"3500009",2010
"3700027",2005
"3700027",2011
"3900001",2003
"3900001",2010
"4200002",2005
"4200016",2001
"4200016",2007
"4600009",1995
"4600009",2003
"4600009",2007
"4600009",2011
"4800001",2007
"4800005",1978
"4800005",1984
"5000001",1984
"6100008",2012
"6200018",1989
"6200018",1990
"6200018",2004
"6200018",2009
"6200018",2011
"6300012",1997
"6300012",1998
"6300012",2004
"6300012",2006
"6300012",2009
"7100001",2006
"7100005",1977
"7100005",2005
"7200005",1998
"7200005",2009
"7300027",1982
"7400018",2006
"7500022",1994
"7500022",2005
"7500022",2013
"7500028",2000
"8000004",1989
"8000004",2003
"800002",1987
"800002",2007
"800006",1973
"800006",1974
"800006",1984
"800006",2001
"800008",1988
"800008",2000
"8300007",1976
"8600010",1985
"8600010",1998
"8600010",1999
"8600010",2008
"8800011",1994
"8800011",1996
"8800015",2002
"9100002",2009
"9600003",2002
"9600003",2009
"9800004",1999
"9900017",2007
"9900017",2013
