fold,d,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$W_{Jun}$,,,,,,,,
2,1,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{Glac}$,$A_{LE}$,log$(R_G)$,$W_{Apr}$,$W_{Jun}$,$A_{Agr}$,$A_{For}$,$W_{Jul}$,,
3,1,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,log$(R_G)$,$H_{F}$,$D_{net}$,$P_{Apr}$,,,,,
4,1,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Jan}$,log$(R_G)$,$H_{F}$,$A_{Agr}$,$A_{L}$,$H_{MIN}$,$C_{S}$,$D_{net}$,,
5,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$H_{F}$,$P_{Jul}$,$C_{S}$,,,,,,
6,1,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Jul}$,$M_{200h}$,$D_{net}$,$W_{Mai}$,$R_{L}$,,,,,
7,1,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Feb}$,$D_{net}$,$D$,log$(R_G)$,$H_{F}$,$R_{L}$,,,,
8,1,$Q_{N}$,,$A_{P}$,$A_{LE}$,log$(R_G)$,$H_{F}$,$W_{Apr}$,$D_{net}$,,,,,
9,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$W_{Apr}$,$A_{For}$,,,,,,,
10,1,$Q_{N}$,$A_{LE}$,$A_{P}$,log$(R_G)$,$H_{F}$,$T_{Jun}$,$R_{L}$,$W_{Jun}$,,,,,
1,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Apr}$,log$(R_G)$,,,,,,,,
2,6,$Q_{N}$,$A_{L}$,$A_{P}$,$T_{Jan}$,$A_{Agr}$,$A_{LE}$,$A_{For}$,,,,,,
3,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Jul}$,$D_{net}$,,,,,,,
4,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Apr}$,$A_{Agr}$,$A_{Glac}$,$A_{For}$,,,,,
5,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Feb}$,log$(R_G)$,$A_{Agr}$,$A_{Bog}$,,,,,,
6,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$P_{Jan}$,log$(R_G)$,$W_{Jun}$,$A_{Agr}$,,,,,
7,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$W_{Apr}$,log$(R_G)$,$A_{For}$,$P_{Mai}$,,,,,,
8,6,$Q_{N}$,$A_{LE}$,$A_{P}$,$P_{Feb}$,log$(R_G)$,$A_{Agr}$,$H_{F}$,,,,,,
9,6,$Q_{N}$,$A_{L}$,$A_{P}$,$A_{LE}$,$W_{Apr}$,$A_{Agr}$,$A_{For}$,$R_{L}$,,,,,
